"","GC124724","GC124725","GC124726","GC124727","GC124728","GC124729","GC124730","GC124731","GC124732","GC124733","GC124734","GC124735","GC124736","GC124737","GC124738"
"BT_1496",6503.619,7776.156,7812.362,7067.604,7170.295,5567,121,111,112,20,19,11,71,17,31
"BT_1497",2342,5372.247,5969.709,6168.095,5362,4349,2765.633,2447,2658,256,243,89,175,119,101
"BT_1498",1550,3066,3104,2715,2544,2012,1096,1260,1091,266,132,20,241,101,143
"BT_1499",46898,33944.19,27925.376,23448.241,18120.76,13635.999,1068,1332,1072,316,225,482,712,479,673
"BT_1500",53563.887,66000.136,66745.505,39776.181,43548.398,32791.001,1497,2033,1730,304,211,303,531,307,405
"BT_1501",85.042,52,77,155,250.999,178,15,17,27,0,0,0,3,4,2
"BT_1502",293,321.001,238,290,318,253,132,448,207,0,26,63,54,30,17
"BT_1503",427,580,676,1071.395,984.595,809.545,1171,1907,1235,3,17,53,6,15,9
"BT_1504",28,8,8,32,43,29,13,16,3,0,0,0,5,0,0
"BT_1505",77.958,115,131,120,97.001,149,136,203,151,46,39,43,24,17,3
"BT_1506",6,6,10,17,24,37,0,0,7,0,0,0,1,0,0
"BT_1507",1002,986,1051,1796,1803,1351,492,516,310,26,30,43,83,30,39
"BT_1508",0,0,3,5,4,3,0,0,0,0,0,0,0,0,0
"BT_1509",1059.231,2175.076,2132.738,3967.748,4075.716,2962.351,648.857,676.737,697.273,38.564,26.03,9,31.555,16,28.866
"BT_1510",4025,4664,4505,4024,3727,3132,3056,2624,2278,204,119,135,203,81,115
"BT_1511",16,20,18,54,30,47,0,9,0,0,0,13,0,9,6
"BT_1512",313,303,319,583,705,530,224,301,140,48,21,86,32,10,38
"BT_1513",819.769,1591.254,1635.262,4183.857,4393.689,2908.083,696.143,369.263,372.727,46.436,48.97,0,25.445,10,30.134
"BT_1514",9,11,13,0,2,0,0,7,0,0,0,0,7,0,0
"BT_1515",2,4,6,1,1,4,0,0,31,0,0,0,0,0,0
"BT_1516",34,43,38,56,53,44,0,16,0,0,0,0,1,0,0
"BT_1517",326,521,605,420,364,269,73,95,42,134,35,100,1248,917,965
"BT_1518",145,227.806,179,69,83,52.045,117.726,160.849,148,75,46.493,88,55,63.998,43
"BT_1519",171,227,238,83,78,72.955,48.274,45.151,34,40,10.507,44,128,65.002,84
"BT_1520",0,0,3,4,2,1,0,0,0,12,0,0,4,0,0
"BT_1521",1656.942,2273.278,2384.136,701.78,771.769,643.639,73.969,29,18,0,6,0,3,3.916,0
"BT_1522",3940.735,5129.719,5674.229,2340.297,2672.231,2157.075,33.031,47,62,0,0,19,9,8.084,22
"BT_1523",1112.64,1571.773,1629.766,774.156,881.689,606.091,17,0,0,0,0,12,0,2,0
"BT_1524",383.684,1079.527,1096.58,787.355,785.808,541.318,8,7,0,2,31,23,4,1,0
"BT_1525",1856.189,2100.284,2346.316,1213.537,1320.503,1181.877,8,15,12,5,8,15,0,0,13
"BT_1526",57084.691,71802.697,75660.652,32968.214,33997.902,28160.258,2456,4313,2434,131,83,128,200,129,166
"BT_1527",2683.06,3688.581,3477.217,2132,1848,1381,206,217,164,9,3,0,54,23,19
"BT_1528",1315.322,1595.119,1681.715,631,874,587,75,134,51,15,0,56,27,7,14
"BT_1529",7848.659,11278.748,12185.286,6374.792,7272.682,5297.305,973,659,489,52,113,64,194,77,130
"BT_1530",19595.019,24657.403,26970,7888.339,8431.318,6406.695,259,347,426,85,43,17,47,18,21
"BT_1531",5824.024,6872.474,7403,3805,3913,2848,531,654.999,534.277,49,23,14,60,53,40
"BT_1532",2552.096,3285.16,3549.428,542.249,581,460.131,34,61.967,75.314,11,28,0,9,5,9
"BT_1533",3224.88,3736.297,4232.572,815.268,688,569.869,158,193.794,148.096,16,25,0,13,15,10
"BT_1534",601.906,1040.522,1199.894,326.483,275.985,233.989,19,147.24,53.313,0,13,7,21,13,4
"BT_1535",2656.094,3992.435,4242.374,838,798.995,648.011,96,53.467,67,11,3,0,0,3,3
"BT_1536",6251,10547.848,11127.497,8095,7459.02,6143,778,767.533,643,33,24,62,75,24,2
"BT_1537",16393.584,23592.652,25704.922,90714.174,117355.196,90281.333,1925.323,1359.118,1115.388,250,333,305,509,269,243.088
"BT_1538",3196.227,3755.206,3575.801,6783.707,6075.713,4470.353,1694.677,2565.882,1662.612,42,18,33,132,98,132.912
"BT_1539",1878,2239.45,1973,7613.808,8581.929,5261.854,2310.161,1142,1263.044,68,41,28,158,100,63
"BT_1540",978,1182.876,1236.205,1436.276,1286.07,1051.819,526.489,598,352.537,0,10,48,76,10,44
"BT_1541",822,1062.799,1065.795,412.916,478,303.327,305.35,395,274.419,0,0,91,33,15,13
"BT_1542",11750,17309.353,16944,141217.058,159795.455,122449,4732,4648,3291,628,415,352,763,352,532
"BT_1543",4517,5587.995,6520.002,1952,2249,1597,1220,1412,907,296,329,358,49,26,5
"BT_1544",2377.725,2994.009,3296.305,2758.808,2580.999,1925.668,1736.792,1038.993,1148.917,480,400,598,421,298,370
"BT_1545",236.275,427.996,310.093,432.192,443.001,253.332,181.952,327.007,215.083,8,12,14,20,18,16
"BT_1546",216,203,260,68,29,46,92.256,112,75,29,38,0,25,19,16
"BT_1547",438,518,488,93,86,72,396,264,246,26,60,58,29,5,11
