"","GC124688","GC124689","GC124690","GC124691","GC124692","GC124693","GC124694","GC124695","GC124696"
"BT_0075",32.011,31.009,36.007,65,14,0,19,29,0
"BT_0076",29,15,33,83.032,28,48,165,34,43
"BT_0077",27,36,40,10.968,0,0,10,0,0
"BT_0078",3,0,1,5,0,0,3,0,0
"BT_0079",0,0,0,0,12,0,4,0,0
"BT_0080",0,0,0,0,0,0,0,0,0
"BT_0081",0,0,0,0,0,0,0,0,0
"BT_0082",226,268,256,1323.862,313,296,548.699,908.986,377
"BT_0083",236,251,294,257.138,125,69,471.301,781.014,167
"BT_0084",192,218,162.736,42,9,11,31,25,0
"BT_0085",16,23,23.767,6,0,0,0,0,0
"BT_0086",48,38,26.496,29,0,0,19,64,0
"BT_0087",131,124,95,251,130,79,398,93,137
"BT_0088",3,2,3,0,0,0,0,0,0
"BT_0089",1,6,7,0,0,0,0,0,0
"BT_0090",33,59,45,21,15,0,12,0,0
"BT_0091",3,8,4,7,0,0,5,14,6
"BT_0092",0,0,1,0,0,0,0,0,0
"BT_0093",22,23,14,11,14,0,0,26.487,0
"BT_0094",31,9,10,11,0,0,0,11.513,0
"BT_0095",2,0,1,0,0,0,0,0,0
"BT_0096",102,71,65,27,24,13,21,0,0
"BT_0097",2,0,0,0,0,0,0,0,0
"BT_0098",26,31,17,27,0,0,14,14,31
"BT_0099",0,0,0,0,0,0,0,0,0
"BT_0100",0,0,0,0,0,0,0,0,0
"BT_0101",12,8,4,0,0,0,0,0,14
"BT_0102",17,16,27,32,0,0,14,0,13
"BT_0103",8,0,3,14,0,0,0,17,0
"BT_0104",0,0,0,0,0,0,0,0,0
"BT_0105",94,97,79,18,2,0,48,1,33
"BT_0106",1970,1216,1465,187,49,41,213,57,57
"BT_0107",7,10,7,13,0,0,32,0,0
"BT_0108",41.281,48,49,8,8,0,11,0,0
"BT_0109",8.719,3,0,0,0,0,0,0,0
"BT_0110",8,6,5,0,0,0,42,21,11
"BT_0111",231,195,131.002,0,5,0,2,0,0
"BT_0112",58,32,17,10,8,0,18,8,0
"BT_0113",41.512,9,27.266,0,0,0,23,0,0
"BT_0114",289.488,175,226.734,15,7,0,16,31,26
"BT_0115",13,7.597,6,0,0,0,0,0,0
"BT_0116",34,44.403,38,42,36,21,20,19,18
"BT_0117",2,7,5,1,0,0,5.605,0,11
"BT_0118",9,5,10,17,0,0,31.395,0,0
"BT_0119",0,0,3,0,0,1,1.035,0,0
"BT_0120",4,2,2,11,0,0,8.965,0,0
"BT_0121",323,250,222,68,36,37,48,31,15
"BT_0122",62373.427,53209.714,44934.491,5686,982,1046,3906,3201,2348
"BT_0123",6.002,5,5,10,5,0,0,17,31
"BT_0124",42.998,45,42,15,0,0,8,40,0
"BT_0125",296,341,348,333,65,50,138,118,23
"BT_0126",4918,5346.916,4875.846,2050,665,453,391,462,323
"BT_0127",668,689,806.154,278,111,80,219,110,66
"BT_0128",168,193,169,43,11,22,156,47,28
"BT_0129",59,44,74,54,13,30,32,66,23
"BT_0130",15,19,16,28,0,0,12,40,23
"BT_0131",0,0,0,0,0,18,0,0,0
"BT_0132",629,503,527,510,216,118,247,368,209
"BT_0133",21005.947,17352.48,15522.978,917.163,320,193,958,891,660.816
"BT_0134",342.547,318.353,488.589,49.837,0,36,15,32,46.184
"BT_0135",5210.055,6596.767,5601.824,1773,500,395,101,316,183
"BT_0136",1341,1035,1173,1969,425,524,480,416,445
"BT_0137",80,110,67,224,17,71,68,26,58
"BT_0138",22441.639,18512,16856.965,14150,5603,4439,4352,16537,9889
"BT_0139",0,1,4,6,0,0,0,0,0
"BT_0140",522.716,543,536,943,239,146,99,143,183
"BT_0141",297.284,236,351,252,55,47,101,213,208
"BT_0142",96,151.239,120.124,134,18,29,36,78,44
"BT_0143",490.002,398.761,451.876,474,152,74,155,162,86
"BT_0144",3,8,19,0,9,0,11,0,0
"BT_0145",45,60,47,76,9,0,22,40,0
"BT_0146",204,183,179,22,0,0,19,0,12
"BT_0147",24092.255,29441.857,31318.577,330.002,147,187,269,357,132
"BT_0148",37458.694,36177.555,37219.841,211.998,91,141,62,301,122
"BT_0149",947.513,1087,927.672,142,32,77,116,69,103
"BT_0150",3376.487,3106,3262.328,575,258,172,383,534,313
"BT_0151",2193.84,2216.897,1705.172,837.641,385.824,341,172.446,181.672,113.78
"BT_0152",1474.16,1257.103,1208.828,877.359,388.176,269,1480.554,471.328,315.22
"BT_0153",1976.002,2031.19,1586.825,4573.615,1347.762,1009,411.191,592.88,552.74
"BT_0154",15118.022,13835.995,13919.215,15592.385,5189.238,3341,1414.809,1627.12,1545.26
"BT_0155",38800.66,54068.533,55127.28,2319,853,1021,1186,1782,1956
"BT_0156",3521.665,3834.95,3556.167,1754,752,605,228,267,258
"BT_0157",13383.386,11611.349,16791.308,751.097,380,627,746.251,815,700
"BT_0158",8876.476,7704.307,6832.846,196.903,44,30,324.749,51,84
"BT_0159",6217.048,5970,5479.705,1137,255,242,275,739,672
"BT_0160",999,691,799,20,22,13,170,36,0
"BT_0161",1868,1735,1781,47,44,17,118,139,12
"BT_0162",34645.403,28379.865,23326.638,486,203,144,819,1175,593
"BT_0163",1135,1436.472,939.059,273,86,37,191,127,124
"BT_0164",93323.521,82143.21,73027.184,21429,8286,6835,7600,17066,11324
"BT_0165",2905,2973.79,2645,2008,380,448,115,302,248
"BT_0166",4863.104,6587.21,4615,9594,2129,1838,1064,2799,2861
"BT_0167",438.561,404.398,402.82,294.611,186.166,155,254.901,374.049,147.008
"BT_0168",1000.439,625.602,750.18,831.389,537.834,259,322.099,470.951,219.992
"BT_0169",2057.295,1977.725,2486.896,311,269,48,139,119,58
"BT_0170",5071.705,2090.275,3033.151,29,15,10,26,53,9
"BT_0171",9,8,5,203,62,10,6,23,29
"BT_0172",55,50,39,18,0,12,38,21,30
"BT_0173",3864.117,4763.22,4411.673,2125.204,418,428.996,533.208,1004,1113.198
"BT_0174",2390.883,3797.78,2947.327,538.796,229,282.004,106.792,294,269.802
"BT_0175",1277,968,995,21,11,20,24,14,1
"BT_0176",1648.566,1691,1390.969,420,139,281,363,226,185
"BT_0177",4587.034,6161.24,6141.804,69253.571,15302,12092,3490.976,10181,5510.949
"BT_0178",1742.855,2404.286,2334.962,1825.393,1114.317,836.729,180.024,272,146.051
"BT_0179",1552.052,2137.457,2247.586,548.483,350.683,283.271,127,83,12
"BT_0180",33149.218,35236.61,31322.201,4031.552,2089,1973,1257,2785,1646
"BT_0181",456.578,619.84,636.063,113.001,52,21,11,24,0
"BT_0182",554,538,505,178,25,33,147,61,11
"BT_0183",6323.711,4248.279,3764.257,4398,2857,1871,2671,3194,1186
"BT_0184",2213.67,2106.721,2373.027,3126,944,822,47,188,170
"BT_0185",1192.257,933.929,934.565,231.713,89,55,205,226,65
"BT_0186",55328.272,56626.176,54317.317,5474.08,1666,1380,2256,1845,1825
"BT_0187",13188.927,11182.129,13037.791,546,208,177,382,798,455
"BT_0188",3844.02,2582.601,2721,268,139,179.925,295,694,230
"BT_0189",81,61,89,526,291,198.075,207,231,254
"BT_0190",99,115,87,540,204,203,165,101,237
"BT_0191",30,44,41,50,70,35,57,24,33
"BT_0192",809,738.04,645.837,390,175,134,151,101,51
"BT_0193",42,84.96,83.163,39,15,13,42,27,0
"BT_0194",63.077,55,68,9,2,0,3,18,0
"BT_0195",135.923,128,131,1064,470,374,313,339,292
"BT_0196",20,10,11,20,0,7,12,20,4
"BT_0197",316,238,286,211,34,53,31,26,22
"BT_0198",729,974.102,862,81.246,63,53,72,42,12
"BT_0199",1491,1612.898,1795,1718.754,567,416,428,264,271
"BT_0200",1962.97,2014.181,1992.114,186.681,123,35,179.885,111.353,81.799
"BT_0201",2971.144,2925.205,2879.063,228.319,107,84,135.531,333.647,161.201
"BT_0202",251.302,291.613,390.823,39,53,30,24.583,16,38
"BT_0203",2342.687,2619.747,2182.173,434,199,156,225,454,215
"BT_0204",89.313,65.253,79.427,42,0,16,25,27,18
"BT_0205",3136.04,3511,3711.276,491,153,98,109,230,339
"BT_0206",216,250,207,134,30,69,61,10,34
"BT_0207",21,15,5,17,0,0,16,1,17
"BT_0208",14,1,17,4,4,14,35,13,0
"BT_0209",45,50,68,15,7,21,13,28,24
"BT_0210",124,102,110,62,0,13,27,94,32
"BT_0211",120,105,125,77,24,50,21,33,0
"BT_0212",206,207,166,96,18,19,92,70.427,22
"BT_0213",42.071,53,39,6,0,0,19,2.573,0
"BT_0214",337.929,316,260,94,21,0,215,36,33
"BT_0215",10823.458,11567.767,13279.661,15604.807,4026,2780,1451.796,2887.986,2522
"BT_0216",5501.343,6211.233,7440.339,12875.193,3736,3034,9030.207,3720.014,5574
"BT_0217",5406.199,5765,4421,2331,758,569,2377.996,1143,1514
"BT_0218",381,364,445,39,0,0,31,0,37
"BT_0219",119,126,124,1,0,0,2,15,0
"BT_0220",0,0,0,0,0,0,0,24,0
"BT_0221",467.6,610.198,384.353,410.011,155,97,127,96,97.556
"BT_0222",453.4,374.802,503.998,11.989,10,0,11,46,38.444
"BT_0223",249,192,253.649,48,0,0,45,37,27
"BT_0224",2434.202,2734.595,2040.018,99,38,23,91.487,296.483,133
"BT_0225",8731.441,13711.235,16700.859,6578,1001,879,756.513,2332.517,3166
"BT_0226",416.312,408.083,433.005,16,0,24,52,59,0
"BT_0227",28878.335,31989.881,36349.181,344,40,91,143,350,284
"BT_0228",44,38,51,0,0,0,56,0,28
"BT_0229",64,64,51,4,0,0,6,0,0
"BT_0230",185.566,129,131,25,0,0,21,35,16
"BT_0231",60.434,50,66,0,0,0,1,0,0
"BT_0232",49,38,47,5,0,0,0,0,0
"BT_0233",57.079,52,54,25,14,17,44,0,17
"BT_0234",259.921,204,295,78,22,8,41,15,38
"BT_0235",61,65,62,57,0,0,23,49,0
"BT_0236",4239.158,4732,5032.721,282,43,69,217,184,227
"BT_0237",5039.34,5513.162,7142.596,274,103,59,130,292,167
"BT_0238",2442.502,3020.837,3437.609,469,203,154,136,192,166
"BT_0239",4803.458,4656.956,4974.92,4120.545,1517,787,1195,298,440
"BT_0240",1360.777,1221.296,1152.097,3633.558,532,748,18411,1454,1304
"BT_0241",7404.616,7135.161,8909.6,1222.218,277,303,1372.637,736.668,983
"BT_0242",99556.281,149142.558,119696.809,87993.678,10999,11932,22904.363,32940.332,47951
"BT_0243",2505,1945,2460,204,81,24,64,197,118
"BT_0244",18937.8,19058.932,16925.283,7846,2584,2243,1907,3535,2730
"BT_0245",7457,7491,7654.988,3237,971,994,1087,1261,939
"BT_0246",1741.014,1274,1550,74,0,38,17,0,29
"BT_0247",3470,2818,3207.628,65,28,10,35,30,0
"BT_0248",1249.113,1087.052,1704.784,46,54,26,62,8,29
"BT_0249",42898.256,36767.593,34060.637,416.339,223,151,465,269,79
"BT_0250",9838.255,10142.496,10458.827,2079.366,647,629,466,771.192,961
"BT_0251",7532.522,6777.577,6898.537,912.296,384,332,330,374.808,311
"BT_0252",13795.729,16063,13938.692,1715,750,833,1363,1261,1219
"BT_0253",403.08,429.929,444.529,406,126,61,374,90,121
"BT_0254",2764.167,2654,2797,1025,328,198,304,244,284
"BT_0255",95.536,127.687,110.691,43,7,17,92.596,0,42
"BT_0256",288.464,182.313,242.309,178,115,33,35.404,57,42
"BT_0257",12986.768,12964.192,13396,2025,455,503,1726,594,444
"BT_0258",29865.271,35063.118,34937.679,3505,2055,1753,2130,2287,2197
"BT_0259",16964.774,11720.998,10573,1359,463,266,995,2170,791
"BT_0260",11254.794,8188.612,10658.359,2283.387,715,660,1532.253,2247,1426.013
"BT_0261",772.614,695.388,909.781,661.613,272,214,476.747,147,223.987
"BT_0262",16,12,10,12,0,0,0,0,9
"BT_0263",76.002,71,46,57,35,41,358,113,18
"BT_0264",44,48,42,109,1,47,78,47,7
"BT_0265",26,12,21,2,0,22,56,10,0
"BT_0266",23,7,13,0,0,0,21,0,10
"BT_0267",1971.944,1667,1821,1144,214,285,4280,660,409
"BT_0268",92,136,131,111,68,29,142,54,56
"BT_0269",84,64,66,39,11,19,12,39,0
"BT_0270",4,1,10,12,0,4,45,13,12
"BT_0271",6,5,15,18,0,0,5,16,0
"BT_0272",150,117,128,135,0,5,137,74,18
"BT_0273",55,61,61,7,0,0,16,1,0
"BT_0274",6,15,3,2,0,0,1,0,0
"BT_0275",363,337,372,33,11,8,2,19,6
"BT_0276",364.053,341.024,312.188,91.609,13.763,20,70.218,71.748,79.233
"BT_0277",355.947,305.976,369.963,92.391,10.237,46,60.672,78.252,62.767
"BT_0278",119,133,133.849,110,37,0,37.109,0,0
"BT_0279",4,0,4,3,0,0,1,0,0
"BT_0280",193,180,157,267,56,194,226,139,134
"BT_0281",58,65,100,21,26,0,31,0,23
"BT_0282",71,81,78,413,105,91,181,131,138
"BT_0283",0,0,0,0,0,0,0,0,0
"BT_0284",660,783,601,4977.723,1518,1227,6953,4415,2874
"BT_0285",1081,1137.923,1005.386,932.268,241.773,273,324,285,330
"BT_0286",70.661,66.565,73.182,64.009,39.227,0,0,77,0
"BT_0287",32.454,17.724,29.433,10.523,0,0,20,0,45
"BT_0288",194.885,207.788,206,105.477,29,34,107,110,20
"BT_0289",387,281,351,2572,764,471,7069,548,554
"BT_0290",870,1124.054,1007,534,182,39,371,184,114
"BT_0291",463,446,489,130,35,0,19,20,0
"BT_0292",26,38,43,44,19,10,44,0,5
"BT_0293",39,43,36,28,13,8,20,0,15
"BT_0294",35,34,51,69,0,0,102,39,27
"BT_0295",4755.844,3996.902,3732.475,711.272,189,309.557,220,526,175
"BT_0296",471.156,433.098,522.525,645.728,78,83.443,438,77,173
"BT_0297",69,53,82,24.982,21,15,26,31,14.012
"BT_0298",40,27,32,24.018,0,7,18,16,15.988
"BT_0299",339.423,404,364,198,47,36,126,99,82
"BT_0300",672.577,711.889,542,153,57,60,43,81,91
"BT_0301",95,99.111,92,30,20,0,10,10,0
"BT_0302",215,196,143,13,0,3,18,52,0
"BT_0303",4663,3996,4070,113,33,13,24,134,66
"BT_0304",9924.234,9631.333,10029.532,3279.283,801,832,6396.599,2870.837,2445.988
"BT_0305",13919.776,13874.852,13329.638,4512.715,1160,1206,5103.798,2521.163,2899.012
"BT_0306",2206.298,2320.228,2488.665,1347.002,377,419,1136.791,973,702
"BT_0307",24675.727,27002.356,25819.844,4509,1057,1294,2936.811,3073,3022
"BT_0308",147,182,226,89,23,0,61,14,6
"BT_0309",11737.444,13645.659,12442.452,842,203,254,281,385,393
"BT_0310",3212.26,3167.341,2801.98,682,112,111,271,95,155
"BT_0311",105182.785,79390.83,85101.123,1910.909,815,686.993,617,2876,1175
"BT_0312",11273.388,10819.325,11731.067,696.091,374,356.007,661,706,423
"BT_0313",2028.272,2589.903,2440.306,155,88,65,71,98,77
"BT_0314",270,270,374.004,242,75,56,107,108,35
"BT_0315",29004.023,34496.912,32718.48,7144,2718,1595,433,1694,1164
"BT_0316",7882.028,7261.259,6464.182,6403,1601,1967,15956,4590,4209
"BT_0317",936,724,1046,7715,4516,3091,2501,4641.998,2396
"BT_0318",61,94.686,83,1259.323,401.346,537,176,550.002,410
"BT_0319",5,5.314,9,114.677,92.654,21,73,48,81
"BT_0320",524.113,525.049,647.377,416.829,288.732,183,418,347,304
"BT_0321",226.898,290.951,362.152,124.171,41.268,96,87,72,12
"BT_0322",16211.964,17151.957,14549.373,3858,902,964,2701.167,1149,1179
"BT_0323",8194.663,5691.061,5652.931,2806.604,746.415,732.994,1819.833,800.267,691.741
"BT_0324",601.715,588.264,573.361,1140.716,417.585,411.8,150,53.733,118.259
"BT_0325",1049.045,1089.007,1339.86,7478.808,2593,2257.206,2884,1558,1006
"BT_0326",2485.597,2262,2589.677,6283.873,5076,3494,1280,2271,1366
"BT_0327",1550.067,1192.518,1401.558,208,111,54,204,136,161.731
"BT_0328",22363.192,16198.473,17105.733,3850,1874,1719,7574,2843,897.269
"BT_0329",1942.684,2144.824,2548.015,326,132,130,208,115,183
"BT_0330",7953.316,8101.634,7780.789,434,169,132,193,87,150
"BT_0331",8513.094,8938.083,10235.77,871,352,262,324,559,372
"BT_0332",270.976,326.372,366.025,47,33,26,0,30,12
"BT_0333",1123.406,813.996,1160.626,214.147,94,53,445.035,168,100
"BT_0334",2161.517,2323.548,2863.378,1090.853,68,43,114.965,89,27
"BT_0335",1275.729,1847.135,1751.288,1078,261,231,107,298,173
"BT_0336",2906.271,2895.865,2538.712,2292,698,643,347,1174,1020
"BT_0337",415,409,395,26,7,0,6,25,0
"BT_0338",142,208,151,48,0,19,23,18,37
"BT_0339",102,89,81,8,10,26,8,0,4
"BT_0340",48,50,35,27,20,0,8,0,12
"BT_0341",39,37,39,32,1,0,4,39,9
"BT_0342",41,29,36,3,12,0,0,0,0
"BT_0343",73,65,54,135,35,9,103,139,19
"BT_0344",219.801,261.943,289.601,163,138.935,56,444.299,84,45
"BT_0345",627.199,705.057,566.399,1083,342.065,235,1202.701,625,646
"BT_0346",13378.126,10374.495,13738.951,159,54,171.572,154,285,169
"BT_0347",18355.259,19917.87,19454.325,1322,703,680.428,522,1662,1132
"BT_0348",36,38,47,12,0,0,14,0,0
"BT_0349",50,75,50,75,37,41,15,51,57
"BT_0350",592.541,428,432,64,12,9,152,104,70
"BT_0351",1485.323,1411,1306,115,52,46,45,218,146
"BT_0352",210.688,223,186.453,99,23,8,65,39,57
"BT_0353",302.272,255.669,280.408,5,22,24,9,28,0
"BT_0354",264.065,209.362,282.593,5,0,22,0,19,5
"BT_0355",2429.101,2770.037,2357.66,452,221,91,90,111,170
"BT_0356",469.552,456,663.886,296,117,100,28,112,68
"BT_0357",304.6,360.797,233.165,243.995,0,0,0,56,94
"BT_0358",15426.063,14810.985,11645.595,1349.889,309,491,1193.184,638.027,598
"BT_0359",874.159,567.946,1016.408,0,31,47,144.928,0,85
"BT_0360",15,6,11,1,0,0,10,0,0
"BT_0361",12,13,5,2,0,0,0,0,0
"BT_0362",26,14,6,35,3,14,11,44,0
"BT_0363",7,10,24,6,0,12,4,9,16
"BT_0364",53,79,34,49,28,88,0,20,0
"BT_0365",91,93,69,1,0,0,4,0,10
"BT_0366",562,501,482,241,12,93,39,69,179
"BT_0367",8.027,10,9,9,0,0,5,0,0
"BT_0368",960.973,845.654,758,165,117,92,72,54,39
"BT_0369",71,54.346,75,10,13,19,16,26,0
"BT_0370",2371.694,2211.741,2494.398,297,208,219,231,432.835,306
"BT_0371",2380.3,3139.511,2943.662,377,264,118,130,163.165,163
"BT_0372",13131.657,7821.232,10622.948,1199,414,253,334,599,287
"BT_0373",9285.967,10643.589,9530,3564,1182,1151,1203,2043,1637
"BT_0374",3747.936,4154,4412,723,150,164,311,280,198
"BT_0375",424,402,307,80,59,39,59,0,27
"BT_0376",1364.621,1304.562,1478.065,441.937,151,109,117,141,75
"BT_0377",471.822,484.531,485.686,246.068,30,29,84,91.078,29
"BT_0378",688.555,664.903,719.281,137.045,33,63,76.993,84.019,86
"BT_0379",264.703,234.98,336.409,17,26.355,0,57,45,42
"BT_0380",254.324,210.377,214.323,67,65.645,0,14,22,25
"BT_0381",250.803,280.999,249.759,146,16,40,7,37,11
"BT_0382",90.549,103.001,185.477,61.867,10,25,7,0,38
"BT_0383",150,193,170.258,62.133,9,0,21,70,37
"BT_0384",49.869,53,83.352,81,7,18,14,112,30
"BT_0385",89.131,113,78.648,92,0,16,106,60,34
"BT_0386",435,275,276.746,101,0,21,79,85,23
"BT_0387",29.028,28.221,37.254,34,0,0,30,41,0
"BT_0388",193.992,156.629,155.024,46,37,8,22,0,44
"BT_0389",15.98,19.154,16.976,23.991,0,10,32,14,0
"BT_0390",56,49,51,100.009,14,33,93,9,33
"BT_0391",81,111,98.322,105,23,22,39,77,28
"BT_0392",155.87,227.008,150.671,52,34,7,26.976,2.376,32
"BT_0393",60.529,95.992,67.662,20,14,0,11.024,17.624,0
"BT_0394",460.601,577,350.345,212,68,36,83,86,15
"BT_0395",3,0,1,0,0,0,0,0,0
"BT_0396",82,65.988,86.043,141.302,58,22,62,22,14
"BT_0397",272,232.012,215.957,9.698,0,7,0,15,2
"BT_0398",86,88,109.216,39,41,40,4,15,0
"BT_0399",53.997,62,91.784,69,15,23,23,0,12
"BT_0400",54.003,73,72,19,33,1,24,40,38
"BT_0401",9,6,6,0,0,0,0,11,1
"BT_0402",6,8,10,6,0,0,0,0,0
"BT_0403",8,7,16,51,4,0,13.053,22,30
"BT_0404",26,25,20,39,5,17,24.947,6,17
"BT_0405",0,1,2,3,0,0,3,0,0
"BT_0406",179.874,111.904,214.374,71,18,32,5,0,19
"BT_0407",164246.333,76327.354,81181.116,46678.987,22859.791,16202.688,92515.822,46937.603,23169.518
"BT_0408",25703.107,18791.812,18688.993,4202.013,1759.209,1522.312,15684.178,7286.397,4054.482
"BT_0409",48683.75,58094.129,46438.787,14488.948,4027,4149,4114,5230,6166
"BT_0410",14060.16,16051.575,16291.904,2844.052,1257,1120,1320,1494,1406
"BT_0411",11646.948,13111.936,10919.228,3808,677,734,355,302.407,161
"BT_0412",8680.157,10551.403,10136.888,902,350,223,427,540.593,336
"BT_0413",10666.386,10624.019,10270.313,733,321,246,304.999,356,188
"BT_0414",7164.879,8203.778,8019.763,459,118,103,195.001,365,244
"BT_0415",10484.768,12886.535,11851.354,590,191,211,161,534.222,269
"BT_0416",3707.516,3775.561,4107.915,329,124,134,202,242.778,90
"BT_0417",1555.715,1688.206,1923.958,156,77,27,118,102,145
"BT_0418",17530.033,21224,20178.15,7986,3499,3523,2162,7089,6829
"BT_0419",6700.176,7372.555,6823.451,1885.495,518,414,788,932,859
"BT_0420",4551.343,6963.557,5890.137,1722.95,493,497,373.041,917,851
"BT_0421",18781.249,21746.529,21025.154,2657.948,784,657,1347.959,1088,1094
"BT_0422",29675.072,35564.917,35327.222,3827.898,1373,1284,932.655,2065,2067
"BT_0423",2368.523,2690.963,3413.385,1230.708,357,367,597.345,1023,664
"BT_0424",4927.438,2963.665,3833.587,628.059,136,98,3655.865,1381.472,198
"BT_0425",1978.571,1658.322,2454.413,265.941,108,108,396.135,321.528,210
"BT_0426",7395,5637.605,5759.117,859,277,148,588,632,288
"BT_0427",182,185,201,8,7,17,25,13,9
"BT_0428",17504.365,14059.606,13193,79,78,25,83,176,131
"BT_0429",363.35,439.497,580.449,15,0,50,18,16,64
"BT_0430",5823.721,6322.662,6549.585,537,125,134,52,175,114
"BT_0431",517.449,515,554.966,31,10,0,14,15,0
"BT_0432",106,97,74,63,15,0,11,0,0
"BT_0433",7099,5728,5753,1842,430,520,420,825,981
"BT_0434",49,113,86,1007,367,406,128,196,177
"BT_0435",32,30,43,397,77,56,111,109,114
"BT_0436",151.767,164,145.132,186,143,92,28,42,22
"BT_0437",18,35,38,23,10,0,5,11,0
"BT_0438",22,5,20,29,13,20,3,22,0
"BT_0439",206,239,188,135,59,81,74,120,101
"BT_0440",24,28,37,32,0,19,0,43,0
"BT_0441",60.582,71.624,60.737,19,0,0,0,0,13
"BT_0442",73.418,65.376,79.263,4,4,0,26,17,12
"BT_0443",8,0,1,0,0,0,0,0,0
"BT_0444",76.185,106.143,99.353,17.071,0,0,43.145,37,8
"BT_0445",1009.82,674.857,697.647,322.929,59,103,159.855,474,165
"BT_0446",53,57,36,0,0,0,18,0,0
"BT_0447",80,99,55,12,23,0,15,0,42
"BT_0448",43,26,33,0,7,0,21,16,0
"BT_0449",103,144,106,29,0,21,13,20,52
"BT_0450",38,51,54,62,27,16,40,12,0
"BT_0451",66,79,80.464,73,12,18,42,21,18
"BT_0452",431,477,363.536,456,126,132,591,747,436
