"","GC124697","GC124698","GC124699","GC124700","GC124701","GC124702","GC124703","GC124704","GC124705","GC124706","GC124707","GC124708","GC124709","GC124710","GC124711"
"BT_0080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"BT_0081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BT_0082",672,551,791.442,854.66,629,613,208,156,281,82,34,43,0,48,47
"BT_0083",565,706,968.527,921.34,297,315,249,166,246,12,25,10,0,48,32
"BT_0084",26,6,16,151.879,260,194,101,82,114,20,0,15,0,13,0
"BT_0085",8,12,5,32.121,25,39,4,6.048,6,0,10,0,0,7,4
"BT_0086",43,10,27,39,47,57,10,45.952,0,0,1,55,0,10,22
"BT_0087",26,3,29,134,158,120,357,295,418,86,150,172,25,109,67
"BT_0088",0,2,0,2,0,1,0,0,0,0,0,0,0,0,0
"BT_0089",4,7,1,18,10,4,10,0,5,0,0,0,0,0,0
"BT_0090",17,11,17,37,55,49,21,5,30,12,7,0,0,8,4
"BT_0091",2,0,1,5,3,4,0,0,18,0,0,0,0,9,0
"BT_0092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BT_0093",29,9,10,16,27,16,7,20,32,0,0,0,0,8,0
"BT_0094",14,5,10,12,18,24,0,15,13,10,21,0,0,0,0
"BT_0095",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"BT_0096",18,13,28,97,60,60,26,28,15,18,21,0,0,3,0
"BT_0097",0,0,3,1,1,1,0,0,7,0,0,0,0,0,0
"BT_0098",14,4,5,16,38,19,11,15,12,20,7,0,0,0,0
"BT_0099",0,0,3,0,0,2,0,0,13,0,0,0,0,0,0
"BT_0100",0,0,1,0,0,0,9,0,5,0,0,0,0,2.377,0
"BT_0101",16,1,6,14,13,6,0,3,0,0,0,0,0,9.623,0
"BT_0102",14,8,10,53,21,29,0,6,5,0,0,0,0,11,13
"BT_0103",0,4,2,6,0,1,3,23,0,0,0,10,0,0,0
"BT_0104",0,0,1,0,0,0,0,0,0,0,0,0,12,0,0
"BT_0105",81,16,35,89,116,92,32,45,87,0,39,20,0,1,0
"BT_0106",1814,1274,1938,1672,1846,2198,430,613,548,67,92,182,16,105,90
"BT_0107",3,0,1,6,3,14,0,1.359,8,0,7,5,0,48,0
"BT_0108",13,15,26.001,26,17,34,3,31.641,19,0,0,10,0,16,11
"BT_0109",3,2,12.999,7,19,5,3,0,8,0,0,0,0,0,0
"BT_0110",3,6,15,14,4,6,0,0,8,13,0,18,0,33,0
"BT_0111",40,4,102,178,271.98,299,1,0,6,0,0,0,0,0,0
"BT_0112",40,31,55,68,62.02,36,26,26,9,9,0,26,0,3,7
"BT_0113",48,25,40.566,35,51,63,0,5,0,0,10,6,0,9,0
"BT_0114",211,143.658,128.434,185,181.005,251,0,0,4,13,0,0,0,0,3
"BT_0115",33,22.342,21,12.986,2,6.022,0,4,0,0,3,0,0,18,0
"BT_0116",82,116,106,69.014,43,57.978,13,22,20,42,3,4,0,8,0
"BT_0117",10,17,32,2,3,1,6,0,0,0,10,0,0,0,15
"BT_0118",20,44,53.833,3,6,7,11,15,0,0,0,0,0,6,0
"BT_0119",5,31,43.028,0,0,0,0,0,0,0,0,0,0,0,0
"BT_0120",0,12,42.17,0,0,0,0,0,0,0,0,0,0,0,0
"BT_0121",2955,1715,3642.969,651,620,916,71,235,151,10,39,21,0,17,0
"BT_0122",71555,26294,33620.644,61349,64087,67205.01,8639,10093,10344,3724,4210,4403,288,1902,809
"BT_0123",5,21,25,3,9,8,3,5,17,11,0,14,0,4,0
"BT_0124",36,27,71.105,46,30,52,7,15,12,39,10,0,0,15,6
"BT_0125",561,638,812.895,804,567,753,333,503,585,72,114,37,27,137,77
"BT_0126",3465,3377.978,4881.307,5642,4765,4862.928,1606,2258,3169,483,538,691,149,557,354
"BT_0127",540,590.022,1005.113,956,502,605.072,142,168,207,72,33,88,73,374,107
"BT_0128",91,118,779,371,284,251,136,106,114,0,16,27,0,30,42
"BT_0129",62,55,68,118,132,109,24,20,65,76,32,87,21,32,7
"BT_0130",29,21,18,28,37,23,13,10,40,7,41,6,0,7,14
"BT_0131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BT_0132",218,245,356,973,675,651,536,473,723,108,97,170,19,104,145
"BT_0133",4684,3094.889,4759.068,16461.503,12892.785,13530.622,836.328,1670.02,1307.109,503,631,891,127,582,213
"BT_0134",75,218.111,358.733,479.512,156.215,236.554,49.672,119.359,114.891,31,18,26,13,130,32
"BT_0135",1486,2356,3188.395,9492.985,4051,4844.824,3655,3486.622,5247,70,125,132,24,179,86
"BT_0136",374,293,470,1523,1673,1926,1492,1688,2475,137,114,194,68,296,178
"BT_0137",99,130,119,212,135,151,81,82,149,20,0,19,0,165,75
"BT_0138",16994.001,8839,13185.32,27597,30615.136,28007,9580,9871,10622,3988,4690,4023,474,1622,741
"BT_0139",11,12,7,0,1,5,9,24,24,0,0,0,0,0,0
"BT_0140",216,255,389.291,824,548,650,669,585,1204,82,87,57,20,111,76
"BT_0141",100,130,191.709,331,335,344.269,107,85,137,27,1,18,0,89,14
"BT_0142",50,80,138,142.906,74,107.731,35,27,101.973,41,34,58,15,76,73
"BT_0143",214,245,394,743.09,446,567,553,427,783.027,39,76,115,73,368,129
"BT_0144",17,11,9,16,3,16,45,6,6,25,0,0,0,0,0
"BT_0145",17,29,46,50,38,71,40,46,56,18,19,7,0,29,0
"BT_0146",120,128,111,161,187,201,33,51,44,0,41,40,0,37,26
"BT_0147",7061,11349,13188.822,34781.974,17567.001,25833.51,532,949,670,284,290,723,187,932,524
"BT_0148",7581,9754,18008.448,31424.848,23306.999,33497.769,468,741,775,74,65,89,154,438,90
"BT_0149",2240,2071.845,3801.753,1876,1338,1503.995,54,97,149,104,140,163,151,607,329
"BT_0150",16007,11415.246,16093.641,7652,7266,7947.72,606,1644,1204,306,356,318,153,879,627
"BT_0151",1836.839,868.886,1359.42,3199.81,4596.714,3714.197,1876.859,1695.019,2112.094,579,525,523,47,628.534,289.113
"BT_0152",1076.161,1003.114,2342.58,1933.19,1733.286,1900.803,661.141,705.981,1057.906,436,529,833,479,2629.466,1144.887
"BT_0153",746,958.228,1272.564,2343.453,1153.125,1806.006,2027,1739.346,3523.42,358,399,449,333,1655.569,790.651
"BT_0154",1866,3122.772,3909.436,10448.547,6393.969,8470.994,15741,22427.654,34407.58,582,824,1223,514,2948.431,1550.349
"BT_0155",28155,32169,65280.57,136565.383,101494.355,106713.832,2610,2803,3521,1123,1448,1842,485,3086,1648
"BT_0156",2904,2650,3837,5416,5102,5240,1785,1578,2123,167,272,188,56,360,162
"BT_0157",2605.089,4528.746,5297.553,12866.063,6610.281,11010.108,1487,2143.696,1995,1720,1683,3260.888,949,5554,2971
"BT_0158",8937.911,4116.254,4746.816,8930.937,10754.719,11559.239,211,484.304,411,218,239,212.112,270,862,454
"BT_0159",4741.003,3904.85,4858.291,13225.987,12456.673,11500.08,777,1030,1155,494,626,725,76,786,294
"BT_0160",6659,2109.15,3209.451,1091.08,1463.999,2267.92,49,107,128,39,10,84,27,50,16
"BT_0161",8369,5506,6433.095,2654,2772.001,2930,134,314,423,90,116,143,11,143,75
"BT_0162",21008,9644,15560.543,23653.951,25487.251,26447.321,535,1316.406,1008,261,662,563,102,305,111
"BT_0163",873,451,573.089,1975.998,1969,1833.679,172,155.594,131,71,50,173,0,30,27
"BT_0164",58475,30026,35514.659,100626.982,115482.733,118460.655,26266,38250,31118,9770,11532,12202,972,4891,2172
"BT_0165",2940,3059,5882.91,5206.002,4141,4118,2542,2397,3621,188,132,107,29,161,66
"BT_0166",6112,2613,4858.229,11271.998,12559.731,9947,3846,2872,4320,795,860,805,42,210,167
"BT_0167",1823.628,1466.624,2098.898,860.23,440.657,611.889,465.893,441.749,439.196,53,34,70,19,92,17
"BT_0168",4214.766,2545.376,3746.843,1028.77,948.343,1255.111,928.107,806.251,1010.804,85,115,123,44,155,45
"BT_0169",4899,8940.337,11835.484,3538.011,2346.118,2929.477,346,532,703,62,121,117,23,288,166
"BT_0170",7781,3962,7372.393,3754.989,5015.335,7882,76,127,109,7,0,68,0,31,2
"BT_0171",5,15,30,13,0,1,27,14,48,11,0,0,0,0,0
"BT_0172",123,93,100,92,56,85,18,26,13,12,27,76,0,31,0
"BT_0173",19465.531,36674.801,37079.636,7192.117,4211.365,4699.936,528.195,524.001,518.938,523,679,926,227,1317,556.517
"BT_0174",16797.228,24645.197,26593.742,5671.883,3899.635,4203.311,492.805,478.999,708.062,94,214,288,62,432,175.483
"BT_0175",86,52,339,1143,1298,1132,74,103,68,0,5,19,22,13,0
"BT_0176",2659,1646,6676,5136,4856,4242.368,717,734.561,908,23,19,8,24,67,17
"BT_0177",6672,8109,13444.399,15450.611,6431.223,6852.535,7520.732,6308.439,10286,366,225,473,221,874,481
"BT_0178",1538.316,2127.26,3705.629,4042.933,1842.359,1785.661,163.268,220,394,41,74,31,21,202.918,96
"BT_0179",1094.684,1567.74,2234.972,2332.748,1066.469,1301.646,106,70,233,6,19,8,24,104.082,61
"BT_0180",33674.147,28125.552,33348.373,37773.987,37027.373,41038.147,1569,1956,2257,838,1068,890,237,1044,501
"BT_0181",908.08,1197.134,1324.075,827.43,387.618,388.199,27,10,24,0,0,8,9,81,98
"BT_0182",1524,2298,3710.678,717,610,584,79,80,115,16,17,137,18,218,80
"BT_0183",7739.985,3606.001,3823.747,9857.374,11961.529,12913.302,2011,3660,2707.663,1735,2077,2956,336.292,1578,758
"BT_0184",2090.015,1810.999,2103.552,4820.626,3494.471,3931.816,2562,3301,3835.337,203,300,399,89.708,523,239
"BT_0185",1588.328,1429.538,2000.138,1733.469,1539.577,1814.183,549,474.999,627,69,57,85,0,119,69
"BT_0186",33829.672,30686.462,35160.699,64447.025,59346.079,59101.025,5627,5405.001,6593,1488,1892,2103,1047,4237,2799
"BT_0187",4223,4591,6454,9122,6280,7861,822,1179,957,514,346,724,111,743,431
"BT_0188",6595,3392,5564.302,4354,5074,6063.06,208,583,448,191,155,208,13,85,38
"BT_0189",311,379,604.698,164,169,167,284,307,571,0,84,40,1,104,56
"BT_0190",336,477,717,135,111,96,118,52,376,52,47,32,25,151,79
"BT_0191",73,82,127.533,24,36,29,26,32,102,10,4,0,27,66,64
"BT_0192",193,183,366.012,1122,1745,1359.71,567,342,457,88,83,104,10,75,53
"BT_0193",49,84,90.455,75,35,42.29,15,16,29,41,0,0,0,15,26
"BT_0194",38,49,84,59,54,67,19,21,40,17,11,10,0,38,14
"BT_0195",144,133,190.999,167,147,138,1143,974,1391,118,80,140,63,162,31
"BT_0196",9,19,24.001,9,11,9,26,35,47,0,15,17,19,60,26
"BT_0197",436,710,1629,724.733,455,579,155,407,474,0,19,29,0,29,13
"BT_0198",792,1571,2609.545,1118.415,655,752,132,107,134,8,23,65,0,60,74
"BT_0199",878,1355,2706.831,3299.852,1870,1948,2836,2543,3900,84,8,77,5,112,131
"BT_0200",2745,2495.926,4120.802,2344.728,1553.967,2290.781,258.58,350,434.335,101,47,148,41,175,50
"BT_0201",6127.818,3680.853,5065.554,3751.272,3646.957,3954.143,233.42,536,339.336,212,288,398,58,419,163
"BT_0202",208.182,795.32,893.758,458,190.076,256.077,28,27,51.329,20,26,43,48,207,100
"BT_0203",2344,1909.744,2727.061,3801.794,3109.996,3106.812,218,159,196,259,400,329,71,502,301
"BT_0204",137,185.256,329.334,133.206,56.004,102.188,6,16,0,0,7,17,0,18,0
"BT_0205",3730,4885,8387.071,5512,3494,4473,445,575,648,98,87,87,53,190,108
"BT_0206",195,162,275.001,163,113,121,174,49,191,18,30,0,13,27,21
"BT_0207",48,49,37,8,21,26,5,10,20,0,0,19,0,0,0
"BT_0208",19,13,26,3,11,12,2,16,23,0,6,7,0,0,0
"BT_0209",24,25,64,70,34,31,42,69,119,5,0,0,0,11,0
"BT_0210",100,86,128,134,107,120,55,36,63,0,14,5,0,21,16
"BT_0211",54,79,100,132,89,97,61,81,149,28,7,0,0,14,5
"BT_0212",234,148,201,330,287,352,113,50,87,17,29,19,0,29,30
"BT_0213",31,20,24,30,38,35,0,36,35,0,0,0,10,16,25
"BT_0214",19,8,83,291,377,340,194,117,163,0,0,13,0,35,15
"BT_0215",17238,26279.035,41667.541,39596.849,29187.601,33799.869,29183.327,21170.885,33218.02,793,1027,1290,863,4833,2289
"BT_0216",19433,37678.965,67828.166,35629.144,16388.462,15485.787,12006.673,11107.115,16522.98,3552,3762,6087,2156,12778,6057
"BT_0217",3531,3241,5093.224,8355.249,6457.209,6225,2437,2851,3545,2135,2678,3689,876,3385,1657
"BT_0218",921,1000,821.269,688,425.774,616,45,75,100,23,21,53,0,180,42
"BT_0219",260,389,381.731,182,75.226,149,40,61,63,12,0,0,0,16,13
"BT_0220",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"BT_0221",539.292,503.058,951.599,917.165,663.604,865.541,485.771,507,661,0,38,34,0,19,20
"BT_0222",907.708,929.942,1003.997,576.835,395.396,557.459,30.229,54,79,8,17,13,27,53,45
"BT_0223",491,425,768.405,342,379,430,27,41,10,1,4,28,6,65,22
"BT_0224",5507.217,2986.83,3972.885,3764.317,3096.589,2735.596,30,60,65,47,47,43,0,37,12
"BT_0225",3226.783,4645.422,8895.636,17332.633,11791.411,10509.404,7136,4970,7891,477,542,642,117,350,214
"BT_0226",1432.867,1315.914,2225.891,706.103,556.109,636.282,0,15,8,0,8,0,0,27,22
"BT_0227",101259.902,135174.698,153719.702,52018.937,29018.891,37531.335,292,461,330,52,13,95,1,139,31
"BT_0228",57,50,51,31,55,43,5,24,28,0,23,0,10,0,8
"BT_0229",86,91.505,90.619,54,37,83,5,9,23,16,0,0,0,27,0
"BT_0230",296,186.495,290.477,167,155,168,19,20,0,0,9,31,0,0,8
"BT_0231",229,106,164.904,146,77,88,0,13,7,0,15,0,0,0,0
"BT_0232",130,212,332,36,53,55,0,18,19,0,0,0,0,0,8
"BT_0233",158,107,202.978,83,84.134,109,42,31,31,52,38,61,29,225,71
"BT_0234",143,123,214.022,324,258.866,277,128,137,294,9,7,10,26,117,41
"BT_0235",12,3,12,140,116,74,21,23,24,14,0,11,29,50,41
"BT_0236",11830,11862.506,14507.281,7392.991,5793.384,6017,253,195,329,83,128,122,44,134,101
"BT_0237",8307,12076.494,13479.202,8025.009,4397.082,5242.435,123.496,265,222,84,111,161,103,259,110
"BT_0238",1939,4362,6960.927,5194.633,3307.545,4139.58,568.504,723,1000,30,122,88,10,190,69
"BT_0239",2937,5344.443,11988.685,14484.447,7908.998,8100.725,9220,7309.058,13345.946,252,402,375,84,929.361,548
"BT_0240",1799.068,2021.557,4400.315,2418.553,1789.002,1303.275,934,1091.942,1804.054,1172,926,1096,308,1953.639,916
"BT_0241",4936.748,5783.242,10774.879,20105.168,14116.57,18736.33,409.286,492,583.209,404,417,749.982,379,2125.768,784
"BT_0242",13391.348,8446.204,34278.79,392661.743,338748.102,240662.554,24148.714,13727,27321.791,11914,8609,7850.018,985,5345.232,2127
"BT_0243",4127,3789,5587.992,4241,3584,4589,578,983,1189,48,99,241,32,280,100
"BT_0244",2361,1708.123,4091.081,20067,18727.014,16620.845,6862,8103,11225,1751,2024,2038,547,2518,1380
"BT_0245",1549,1581,2639,8984,7801,7995,2083,2173,4573,755,883,1255,475,2805,1143
"BT_0246",2244,1198,1670,1844,2305,2179,25,30,38,0,9,20,0,59,35
"BT_0247",3622,2571,3053,4081,3549.012,4214.673,23,54,53,18,4,15,23,54,45
"BT_0248",340,1095,1867.994,2415,1067.038,1515.741,65,116,172,0,0,0,0,51,42
"BT_0249",25676,12959.613,17181.438,38072.43,47273.805,57157.466,1292,2163,1437.394,416,585,552,116,520,203
"BT_0250",8356.458,6195.644,10506.161,15172.278,14103.556,14094.591,824.377,961.834,1637.898,261,214,296,123,554,340
"BT_0251",4545.542,4812.743,8448.496,8856.291,8940.649,10148.282,834.623,1529.166,1717.708,65,65,250,79,257,163
"BT_0252",19442,14181,20965.201,19985,19113,18046.891,1666,2885,2517,990,1217,1276,220,852,472
"BT_0253",645,962,1656.799,1116,645,830.109,634,658,1011,51,32,87,65,249,64
"BT_0254",3722,3524,5111.056,3989,3836,4496,1212,1602,1986,221,317,395,86,608,290
"BT_0255",61,77,271.193,177.196,116.773,240.231,91.004,302.076,203.996,40,70,73,0,111,29
"BT_0256",132,156,621.989,514.804,278.227,432.769,622.996,1276.924,890.004,0,12,58,33,121,2
"BT_0257",2114,2476,3777,15327,11057.445,12587,1967,2588,3925,828,987,1029,972,4276,2878
"BT_0258",43500.051,50850,43812.661,44978,33840,38368.945,4377,4808,7765,3206,3315,3836,1322,6698,3366
"BT_0259",16136,8014.229,10511.178,11433.773,13528.517,14963.659,1253,2176,1621,1067,1197,1053,34,428,137
"BT_0260",46636.661,32810.927,35353.656,17088.027,14203.09,17571.728,1031.826,1913.281,1720.873,985,1216,1604,474,3068,1558
"BT_0261",1007,1188.167,3336.693,1742.974,1159.393,1449.463,712.174,591.719,918.127,194,128,177,60,205,138
"BT_0262",0,5,6,11,22,12,14,27,46,0,0,0,0,3,0
"BT_0263",13,19,44,78,88,96,106,112,221,55,59,63,59,180,57
"BT_0264",38,23,56,31,15,17,36,75,101,0,6,0,17,166,109
"BT_0265",31,27,27,25,36,24,52,26,42,7,3,20,0,55,26
"BT_0266",6,11,4,21,6,19,3,41,46,0,0,25,0,8,19
"BT_0267",1403,1696,2802,2754,1842,2411,910,805,2050,336,166,484,153,760,376
"BT_0268",241,356.067,439.594,142,79,104,62,157,206,13,28,48,12,180,95
"BT_0269",34,90.933,77.406,70,64,49,61,48,67,13,0,0,8,51,26
"BT_0270",20,9,26,8,5,4,7,7,21,0,0,0,0,24,11
"BT_0271",4,31,43,13,16,8,19,19,27,0,0,12,0,18,4
"BT_0272",104,168,231,119,122,99,19,86,148,38,16,30,0,27,44
"BT_0273",45,72,85,58,37,26,10,7,67,0,0,15,0,14,0
"BT_0274",4,8,21.001,12,6,10,4,3,21,0,0,0,0,17,2
"BT_0275",59,84,91.999,480,357,412,94,110,137,36,6,9,0,89,21
"BT_0276",79,121.51,138.929,336.592,338.413,272.354,99.015,48.072,107.955,32,34,20,8,99,14
"BT_0277",66,110.272,168.838,264.408,270.587,204.173,39.985,47.928,70.045,26,32,0,24,41,78
"BT_0278",51,53.218,102.233,151,98,96.473,74,80,190,0,15,0,20,24,19
"BT_0279",0,9,12,3,1,1,0,16,13,0,0,0,0,23,0
"BT_0280",444,404,514.818,252,222,249.059,139,236,228,64,143,231,178,689,246.062
"BT_0281",110,223,288,145,61,65,22,70,44,9,0,24,29,135,11
"BT_0282",17,16,29,89,97,118,320,297,649,54,90,95,48,125,37
"BT_0283",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BT_0284",128,154,371,834.002,559,596,2484,1587,2931.022,625,548,994,272,1411,565
"BT_0285",524.923,349,695.913,1535.377,1431.524,1250.01,446,586,909.978,126,100,162,38,135,86
"BT_0286",15.077,51,54.722,65.621,59.716,61.99,7,43,61,0,7,35,0,86,30
"BT_0287",55,68,46.11,61,43.759,23.992,15,4,6,15,0,7,9,50,1
"BT_0288",85,86,106.271,207,169,221.008,186,66,110,0,45,97,21,175,90
"BT_0289",350,407,709,1463,1381,1476,4538,4331,7893,647,561,962,625,4229,2622
"BT_0290",164,288,408,1112,707,708,423,314,801,99,191,287,72,722,357
"BT_0291",51,107,128,396,238,288,136,102,134,0,0,16,0,0,32
"BT_0292",267,244,314,109,82,86,66,52,75,15,17,9,23,36,29
"BT_0293",127,54,140,55,69,59,10,28,46,2,10,0,0,28,13
"BT_0294",49,64,111,39,38,39,9,28,43,37,24,48,23,210,79
"BT_0295",8701,10924.777,13285.139,7905.831,5951.944,6972.622,1059.306,1422.941,1674.39,164,106,139,89,236,110
"BT_0296",777,2049.223,2818.422,520.169,339.056,382.116,136.694,121.059,344.61,35,32,34,105,211,155
"BT_0297",164.437,443,763.603,69,36,50,7,27,50,27,11,11,0,13,19
"BT_0298",85.563,307.926,445.413,12,12.231,13,11,4,20,0,19,0,0,7,54
"BT_0299",862.581,1201.074,1659.984,290,226.769,280,104,87,191,53,22,34,14,54,27
"BT_0300",1399.13,1185,1538.128,544,658,567.458,117,171,278,113,42,106,0,28,29
"BT_0301",152.289,171,232,88,69,67,26,71,99,0,10,0,8,31,30
"BT_0302",342,138,246,127,233,223,25,10,24,31,9,5,0,0,0
"BT_0303",5667,4971.344,5396.022,6748,7291,7603.151,208,435,392,67,123,93,45,103,74
"BT_0304",1192,2281,3812.245,7751.203,6618.874,7499.652,8287.07,10921.463,17870.07,866.088,900,1663,513,2095.852,1222
"BT_0305",2837,3354.18,4017.698,12032.191,10973.912,10555.135,3120.93,3799.655,6810.93,1812.912,2196,2745,815,4093.148,2489
"BT_0306",470,627.843,798.01,2210.875,1829.287,2071.436,540,521.883,931,231,585,490,300,889,483
"BT_0307",43909,69309.901,76712.651,30753.998,22642.196,25782.777,3640,3618,4088,1548,1837,2464,556,1766,1088
"BT_0308",174,531,1043.659,269,113,143,32,26,36,12,9,0,0,60,23
"BT_0309",1109.591,1356,3042.42,11166.619,9361.425,10521.007,874.76,937.998,1418,256,253,251,40,276,135
