Rowname,Exp,Replicate,Mucin,Species.combi,T0h,T4h,T6h,T8h,T10h,T12h,T14h,T16h,T20h,T24h,T28h,T32h,T36h,T38h,T40h,T42h,T44h,T48h,T56h,T60h,T72h,T86h,T96h,T120h,T144h,T156h,T168h,T192h,T216h,T240h,T264h,T288h
BT_mucin1_rep5_pH,BT_batch_mucin1,5,Yes,BT,6.65,6.61,NA,6.27,NA,5.54,NA,5.18,5.04,5.05,4.97,5.01,NA,5.04,NA,5.12,NA,5.09,NA,NA,5.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep6_pH,BT_batch_mucin1,6,Yes,BT,6.65,6.53,NA,6.27,NA,5.54,NA,5.18,5.04,5,4.97,5,NA,5.08,NA,5.16,NA,5.09,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep7_pH,BT_batch_mucin1,7,Yes,BT,6.65,6.61,NA,6.27,NA,5.54,NA,5.17,5.04,5.04,4.97,5,NA,5.08,NA,5.08,NA,5.09,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep8_pH,BT_batch_mucin1,8,Yes,BT,6.69,6.57,NA,6.27,NA,5.54,NA,5.13,5.04,5.04,4.96,5,NA,5.08,NA,5.08,NA,5.09,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep9_pH,BT_batch_mucin1,9,Yes,BT,6.69,6.57,NA,6.31,NA,5.55,NA,5.14,5.04,5,4.97,5,NA,5.04,NA,5.13,NA,5.09,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep1_liquid_totalcount,BT_batch_mucin1,1,Yes,BT,4753,17257,NA,228160,NA,763902,NA,1728989,1168993,592834,930189,866243,NA,1035020,NA,1123159,NA,1218615,NA,NA,1166800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep2_liquid_totalcount,BT_batch_mucin1,2,Yes,BT,2829,17436,NA,237092,NA,740547,NA,1073063,1078300,939511,865474,865199,NA,987922,NA,1058985,NA,1081931,NA,NA,1188094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep3_liquid_totalcount,BT_batch_mucin1,3,Yes,BT,2797,19569,NA,247522,NA,568753,NA,1023111,1201910,1033360,813424,673965,NA,910483,NA,1028934,NA,1158082,NA,NA,1133015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep4_liquid_totalcount,BT_batch_mucin1,4,Yes,BT,5348,17465,NA,268613,NA,750031,NA,1142775,1158871,993985,869263,879321,NA,984414,NA,1135554,NA,1228362,NA,NA,1137061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep5_liquid_totalcount,BT_batch_mucin1,5,Yes,BT,5519,16075,NA,297417,NA,700632,NA,1133777,1055243,920261,818213,857870,NA,1340781,NA,748808,NA,1127954,NA,NA,1145789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep6_liquid_totalcount,BT_batch_mucin1,6,Yes,BT,3842,21384,NA,274151,NA,687792,NA,866130,1016585,890197,702423,911242,NA,1160921,NA,882851,NA,911594,NA,NA,881846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep7_liquid_totalcount,BT_batch_mucin1,7,Yes,BT,5221,21026,NA,248363,NA,536420,NA,923038,737075,834075,698538,989476,NA,1154394,NA,1056881,NA,1092120,NA,NA,1010170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep8_liquid_totalcount,BT_batch_mucin1,8,Yes,BT,4527,17828,NA,274274,NA,661151,NA,1058416,951686,1007423,734236,693202,NA,1047140,NA,999184,NA,1195811,NA,NA,1100771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep9_liquid_totalcount,BT_batch_mucin1,9,Yes,BT,4382,18554,NA,183262,NA,659983,NA,1059658,1009461,972004,877866,880093,NA,1000190,NA,855032,NA,938478,NA,NA,952400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep1_liquid_activecount,BT_batch_mucin1,1,Yes,BT,4109,16616,NA,227030,NA,762292,NA,1726829,1167433,574334,928199,863953,NA,1032660,NA,1118589,NA,1206515,NA,NA,1127880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep2_liquid_activecount,BT_batch_mucin1,2,Yes,BT,2288,16945,NA,236302,NA,739017,NA,1071033,1076970,937601,863514,863099,NA,983552,NA,1051635,NA,1059571,NA,NA,1135194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep3_liquid_activecount,BT_batch_mucin1,3,Yes,BT,2071,18961,NA,246442,NA,567263,NA,1021681,1200150,1031420,811594,672225,NA,907413,NA,1023714,NA,1136082,NA,NA,1077965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep4_liquid_activecount,BT_batch_mucin1,4,Yes,BT,4731,16841,NA,267693,NA,748201,NA,1141335,1157321,992295,867423,876801,NA,981414,NA,1128754,NA,1206492,NA,NA,1080811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep5_liquid_activecount,BT_batch_mucin1,5,Yes,BT,4967,15475,NA,296227,NA,698792,NA,1131957,1053703,918601,816073,855140,NA,1335721,NA,744008,NA,1110384,NA,NA,1089399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep6_liquid_activecount,BT_batch_mucin1,6,Yes,BT,3347,20822,NA,273211,NA,686372,NA,864670,1015105,888587,700683,908682,NA,1156341,NA,876621,NA,888134,NA,NA,832736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep7_liquid_activecount,BT_batch_mucin1,7,Yes,BT,4623,20547,NA,247473,NA,535090,NA,921538,736025,832335,696758,986696,NA,1149844,NA,1049081,NA,1066880,NA,NA,938770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep8_liquid_activecount,BT_batch_mucin1,8,Yes,BT,3894,17291,NA,273454,NA,659641,NA,1056816,950456,1005583,732476,691002,NA,1043070,NA,993124,NA,1173681,NA,NA,1045821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep9_liquid_activecount,BT_batch_mucin1,9,Yes,BT,3734,17970,NA,182572,NA,658573,NA,1058018,1008051,970024,875996,877153,NA,996980,NA,849552,NA,919988,NA,NA,890329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep1_Glucose_mM,BT_batch_mucin1,1,Yes,BT,7.6,7.53,NA,6.89,NA,4.42,NA,1.44,0.23,0.15,0.13,0.15,NA,0.14,NA,0.14,NA,0.14,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep2_Glucose_mM,BT_batch_mucin1,2,Yes,BT,7.64,7.64,NA,6.78,NA,4.11,NA,1.43,0.23,0.15,0.14,0.14,NA,0.14,NA,0.14,NA,0.15,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep3_Glucose_mM,BT_batch_mucin1,3,Yes,BT,7.6,7.52,NA,6.85,NA,4.3,NA,1.33,0.23,0.15,0.14,0.13,NA,0.14,NA,0.14,NA,0.15,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep4_Glucose_mM,BT_batch_mucin1,4,Yes,BT,7.55,7.51,NA,6.87,NA,4.31,NA,1.34,0.22,0.15,0.13,0.14,NA,0.14,NA,0.14,NA,0.15,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep5_Glucose_mM,BT_batch_mucin1,5,Yes,BT,7.56,7.51,NA,6.85,NA,4.36,NA,1.36,0.23,0.15,0.14,0.13,NA,0.14,NA,0.14,NA,0.14,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep6_Glucose_mM,BT_batch_mucin1,6,Yes,BT,7.62,7.53,NA,6.79,NA,4.18,NA,1.31,0.23,0.15,0.14,0.14,NA,0.14,NA,0.14,NA,0.15,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep7_Glucose_mM,BT_batch_mucin1,7,Yes,BT,7.57,7.49,NA,6.72,NA,4.25,NA,1.38,0.15,0.15,0.14,0.14,NA,0.14,NA,0.14,NA,0.15,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep8_Glucose_mM,BT_batch_mucin1,8,Yes,BT,7.55,7.54,NA,6.86,NA,4.29,NA,1.32,0.23,0.15,0.14,0.14,NA,0.15,NA,0.15,NA,0.14,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep9_Glucose_mM,BT_batch_mucin1,9,Yes,BT,7.53,7.53,NA,6.75,NA,4.22,NA,1.28,0.22,0.14,0.13,0.13,NA,0.14,NA,0.17,NA,0.15,NA,NA,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep1_Pyruvate_mM,BT_batch_mucin1,1,Yes,BT,7.94,7.96,NA,8.21,NA,7.14,NA,3.55,1.3,0.85,0.8,0.79,NA,0.75,NA,0.73,NA,0.71,NA,NA,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep2_Pyruvate_mM,BT_batch_mucin1,2,Yes,BT,8.02,8.07,NA,8.25,NA,6.54,NA,3.43,1.2,0.86,0.81,0.8,NA,0.76,NA,0.75,NA,0.75,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep3_Pyruvate_mM,BT_batch_mucin1,3,Yes,BT,7.97,7.95,NA,8.22,NA,6.94,NA,3.16,1.29,0.86,0.81,0.79,NA,0.76,NA,0.74,NA,0.75,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep4_Pyruvate_mM,BT_batch_mucin1,4,Yes,BT,8.04,8.02,NA,8.35,NA,7.09,NA,3.45,1.29,0.85,0.82,0.8,NA,0.76,NA,0.75,NA,0.75,NA,NA,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep5_Pyruvate_mM,BT_batch_mucin1,5,Yes,BT,7.96,7.96,NA,8.21,NA,7.06,NA,3.41,1.26,0.86,0.82,0.79,NA,0.76,NA,0.75,NA,0.74,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep6_Pyruvate_mM,BT_batch_mucin1,6,Yes,BT,8.01,8.01,NA,8.24,NA,6.62,NA,3.1,1.23,0.88,0.84,0.83,NA,0.79,NA,0.77,NA,0.76,NA,NA,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep7_Pyruvate_mM,BT_batch_mucin1,7,Yes,BT,7.94,7.92,NA,8.18,NA,6.48,NA,2.94,0.76,0.88,0.85,0.8,NA,0.79,NA,0.78,NA,0.76,NA,NA,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep8_Pyruvate_mM,BT_batch_mucin1,8,Yes,BT,7.94,7.98,NA,8.26,NA,6.93,NA,3.34,1.26,0.86,0.83,0.78,NA,0.77,NA,0.76,NA,0.76,NA,NA,0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep9_Pyruvate_mM,BT_batch_mucin1,9,Yes,BT,7.93,7.97,NA,8.14,NA,6.94,NA,3.35,1.25,0.84,0.81,0.77,NA,0.76,NA,0.9,NA,0.74,NA,NA,0.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep1_Succinate_mM,BT_batch_mucin1,1,Yes,BT,0.61,0.66,NA,1.22,NA,3.78,NA,6.17,7.8,8.6,9.12,9.12,NA,9.3,NA,9.28,NA,9.28,NA,NA,9.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep2_Succinate_mM,BT_batch_mucin1,2,Yes,BT,0.57,0.66,NA,1.36,NA,3.71,NA,6.19,7.72,8.62,8.76,9.07,NA,9.09,NA,9.05,NA,9.23,NA,NA,9.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep3_Succinate_mM,BT_batch_mucin1,3,Yes,BT,0.64,0.62,NA,1.27,NA,3.74,NA,6.27,7.7,8.73,9.07,9.24,NA,9.21,NA,9.17,NA,9.33,NA,NA,9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep4_Succinate_mM,BT_batch_mucin1,4,Yes,BT,0.65,0.65,NA,1.33,NA,3.9,NA,6.45,7.92,8.78,9.12,9.34,NA,9.46,NA,9.38,NA,9.53,NA,NA,9.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep5_Succinate_mM,BT_batch_mucin1,5,Yes,BT,0.64,0.64,NA,1.27,NA,3.71,NA,6.27,7.89,8.81,9.15,9.04,NA,9.23,NA,9.51,NA,9.41,NA,NA,9.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep6_Succinate_mM,BT_batch_mucin1,6,Yes,BT,0.63,0.65,NA,1.37,NA,3.82,NA,6.35,7.81,8.73,9.01,9,NA,9.07,NA,9.13,NA,9.33,NA,NA,9.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep7_Succinate_mM,BT_batch_mucin1,7,Yes,BT,0.63,0.66,NA,1.43,NA,3.92,NA,6.12,7.95,8.68,8.81,9.04,NA,8.98,NA,9.02,NA,9.07,NA,NA,9.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep8_Succinate_mM,BT_batch_mucin1,8,Yes,BT,0.63,0.63,NA,1.32,NA,3.93,NA,6.39,8.09,8.81,9.14,9.19,NA,9.39,NA,9.36,NA,9.45,NA,NA,9.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep9_Succinate_mM,BT_batch_mucin1,9,Yes,BT,0.62,0.66,NA,1.28,NA,3.89,NA,6.41,7.96,8.82,9.12,9.26,NA,9.31,NA,11.22,NA,9.42,NA,NA,9.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep1_Lactate_mM,BT_batch_mucin1,1,Yes,BT,0.58,0.58,NA,0.62,NA,1.32,NA,2.98,3.85,3.71,3.75,3.71,NA,3.76,NA,3.68,NA,3.8,NA,NA,3.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep2_Lactate_mM,BT_batch_mucin1,2,Yes,BT,0.45,0.59,NA,0.62,NA,1.25,NA,3.07,4.11,3.94,3.97,4.02,NA,4,NA,3.97,NA,4.07,NA,NA,3.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep3_Lactate_mM,BT_batch_mucin1,3,Yes,BT,0.58,0.57,NA,0.62,NA,1.36,NA,3.23,3.93,3.98,3.83,3.99,NA,3.84,NA,3.82,NA,4.05,NA,NA,3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep4_Lactate_mM,BT_batch_mucin1,4,Yes,BT,0.58,0.58,NA,0.64,NA,1.26,NA,3.1,3.65,3.72,3.49,3.68,NA,3.7,NA,3.59,NA,3.69,NA,NA,3.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep5_Lactate_mM,BT_batch_mucin1,5,Yes,BT,0.58,0.56,NA,0.64,NA,1.21,NA,3.03,3.79,3.71,3.69,3.63,NA,3.65,NA,3.74,NA,3.72,NA,NA,3.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep6_Lactate_mM,BT_batch_mucin1,6,Yes,BT,0.59,0.58,NA,0.58,NA,1.33,NA,3.29,3.9,4.12,3.75,3.84,NA,4,NA,3.97,NA,4.03,NA,NA,3.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep7_Lactate_mM,BT_batch_mucin1,7,Yes,BT,0.58,0.56,NA,0.62,NA,1.19,NA,2.81,4.7,3.59,3.48,3.64,NA,3.5,NA,3.57,NA,3.66,NA,NA,3.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep8_Lactate_mM,BT_batch_mucin1,8,Yes,BT,0.57,0.59,NA,0.61,NA,1.26,NA,3.01,3.76,3.56,3.62,3.55,NA,3.67,NA,3.64,NA,3.68,NA,NA,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep9_Lactate_mM,BT_batch_mucin1,9,Yes,BT,0.57,0.57,NA,0.6,NA,1.31,NA,3.09,3.63,3.68,3.72,3.68,NA,3.63,NA,4.46,NA,3.67,NA,NA,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep1_Formate_mM,BT_batch_mucin1,1,Yes,BT,1.57,1.78,NA,2.32,NA,3.8,NA,2.92,2.89,2.91,2.88,2.86,NA,3.16,NA,2.84,NA,2.85,NA,NA,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep2_Formate_mM,BT_batch_mucin1,2,Yes,BT,1.04,1.74,NA,2.42,NA,2.87,NA,2.95,2.97,2.99,2.92,2.95,NA,2.94,NA,2.9,NA,2.96,NA,NA,2.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep3_Formate_mM,BT_batch_mucin1,3,Yes,BT,1.71,1.8,NA,2.42,NA,3.81,NA,2.99,2.9,2.92,2.9,2.91,NA,2.89,NA,2.86,NA,2.91,NA,NA,2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep4_Formate_mM,BT_batch_mucin1,4,Yes,BT,1.81,1.83,NA,2.61,NA,2.92,NA,2.98,2.95,2.96,2.93,2.95,NA,2.9,NA,2.92,NA,2.95,NA,NA,2.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep5_Formate_mM,BT_batch_mucin1,5,Yes,BT,1.74,1.68,NA,2.46,NA,2.9,NA,2.93,2.94,2.95,2.9,2.87,NA,2.88,NA,2.9,NA,2.88,NA,NA,2.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep6_Formate_mM,BT_batch_mucin1,6,Yes,BT,1.73,1.74,NA,2.51,NA,2.93,NA,2.99,2.99,2.98,2.94,2.98,NA,2.95,NA,2.95,NA,2.97,NA,NA,2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep7_Formate_mM,BT_batch_mucin1,7,Yes,BT,1.75,1.81,NA,2.54,NA,3.04,NA,3.07,3.21,3.06,3.03,3.05,NA,3.02,NA,3.03,NA,3,NA,NA,2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep8_Formate_mM,BT_batch_mucin1,8,Yes,BT,1.67,1.78,NA,2.5,NA,2.92,NA,2.94,2.98,2.94,2.93,2.93,NA,2.89,NA,2.92,NA,2.91,NA,NA,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep9_Formate_mM,BT_batch_mucin1,9,Yes,BT,1.66,1.77,NA,2.52,NA,2.89,NA,2.92,2.96,2.9,3.29,2.88,NA,2.87,NA,3.46,NA,2.88,NA,NA,2.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep1_Acetate_mM,BT_batch_mucin1,1,Yes,BT,2.17,2.23,NA,3.12,NA,6.07,NA,9.52,11.45,12.03,12.18,12.22,NA,12.23,NA,12.17,NA,12.22,NA,NA,12.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep2_Acetate_mM,BT_batch_mucin1,2,Yes,BT,2.19,2.25,NA,3.27,NA,6.16,NA,9.56,11.54,12.09,12.2,12.25,NA,12.16,NA,12.19,NA,12.29,NA,NA,12.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep3_Acetate_mM,BT_batch_mucin1,3,Yes,BT,2.15,2.25,NA,3.17,NA,6.01,NA,9.76,11.41,12.05,12.21,12.18,NA,12.2,NA,12.16,NA,12.23,NA,NA,12.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep4_Acetate_mM,BT_batch_mucin1,4,Yes,BT,2.19,2.24,NA,3.2,NA,6.2,NA,9.69,11.52,12.12,12.3,12.29,NA,12.24,NA,12.28,NA,12.33,NA,NA,12.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep5_Acetate_mM,BT_batch_mucin1,5,Yes,BT,2.2,2.24,NA,3.21,NA,6.14,NA,9.55,11.51,12.11,12.26,12.27,NA,12.25,NA,12.22,NA,12.29,NA,NA,12.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep6_Acetate_mM,BT_batch_mucin1,6,Yes,BT,2.16,2.23,NA,3.26,NA,6.3,NA,9.75,11.6,12.17,12.28,12.27,NA,12.22,NA,12.21,NA,12.29,NA,NA,12.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep7_Acetate_mM,BT_batch_mucin1,7,Yes,BT,2.22,2.24,NA,3.33,NA,6.5,NA,9.79,13,12.13,12.32,12.22,NA,12.2,NA,12.25,NA,12.23,NA,NA,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep8_Acetate_mM,BT_batch_mucin1,8,Yes,BT,2.17,2.23,NA,3.22,NA,6.24,NA,9.67,11.62,12.11,12.3,12.24,NA,12.24,NA,12.24,NA,12.32,NA,NA,12.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep9_Acetate_mM,BT_batch_mucin1,9,Yes,BT,2.18,2.25,NA,3.23,NA,6.28,NA,9.63,11.5,12.12,12.17,12.18,NA,12.26,NA,14.46,NA,12.26,NA,NA,12.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep1_Neu5Ac_mM,BT_batch_mucin1,1,Yes,BT,1.29,1.27,NA,1.26,NA,1.28,NA,1.27,1.26,1.26,1.27,1.28,NA,1.34,NA,1.34,NA,1.33,NA,NA,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep2_Neu5Ac_mM,BT_batch_mucin1,2,Yes,BT,1.29,1.29,NA,1.26,NA,1.23,NA,1.27,1.27,1.28,1.27,1.29,NA,1.33,NA,1.35,NA,1.35,NA,NA,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep3_Neu5Ac_mM,BT_batch_mucin1,3,Yes,BT,1.28,1.27,NA,1.26,NA,1.25,NA,1.27,1.27,1.27,1.28,1.28,NA,1.33,NA,1.34,NA,1.34,NA,NA,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep4_Neu5Ac_mM,BT_batch_mucin1,4,Yes,BT,1.29,1.28,NA,1.28,NA,1.29,NA,1.28,1.27,1.27,1.28,1.29,NA,1.33,NA,1.33,NA,1.36,NA,NA,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep5_Neu5Ac_mM,BT_batch_mucin1,5,Yes,BT,1.28,1.27,NA,1.26,NA,1.28,NA,1.26,1.26,1.27,1.28,1.26,NA,1.33,NA,1.34,NA,1.34,NA,NA,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep6_Neu5Ac_mM,BT_batch_mucin1,6,Yes,BT,1.29,1.27,NA,1.27,NA,1.26,NA,1.27,1.28,1.28,1.28,1.29,NA,1.33,NA,1.35,NA,1.36,NA,NA,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep7_Neu5Ac_mM,BT_batch_mucin1,7,Yes,BT,1.28,1.27,NA,1.26,NA,1.27,NA,1.26,1.21,1.27,1.27,1.28,NA,1.34,NA,1.35,NA,1.32,NA,NA,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep8_Neu5Ac_mM,BT_batch_mucin1,8,Yes,BT,1.27,1.27,NA,1.27,NA,1.28,NA,1.27,1.28,1.27,1.28,1.28,NA,1.34,NA,1.34,NA,1.35,NA,NA,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin1_rep9_Neu5Ac_mM,BT_batch_mucin1,9,Yes,BT,1.27,1.28,NA,1.25,NA,1.28,NA,1.26,1.26,1.26,1.26,1.27,NA,1.33,NA,1.54,NA,1.34,NA,NA,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin2_rep1_OD,BT_batch_mucin2,1,Yes,BT,0.012,0.034,NA,0.362,NA,1.33,NA,1.47,1.325,1.125,1.045,0.985,0.885,NA,0.86,NA,NA,0.905,NA,0.89,0.915,0.945,0.995,1.015,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin2_rep2_OD,BT_batch_mucin2,2,Yes,BT,0.012,0.037,NA,0.37,NA,1.365,NA,1.445,1.32,1.12,1.05,0.995,0.875,NA,0.895,NA,NA,0.91,NA,0.92,0.965,0.985,1.015,1.02,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin2_rep3_OD,BT_batch_mucin2,3,Yes,BT,0.008,0.035,NA,0.368,NA,1.39,NA,1.46,1.295,1.135,1.04,0.98,0.89,NA,0.89,NA,NA,0.875,NA,0.91,0.955,0.975,0.96,1.01,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin2_rep1_pH,BT_batch_mucin2,1,Yes,BT,6.64,6.64,NA,6.18,NA,5.2,NA,5.08,4.99,4.99,4.99,5.03,4.95,NA,5,NA,NA,5.04,NA,5.04,5.04,5.04,5.12,5.08,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin2_rep2_pH,BT_batch_mucin2,2,Yes,BT,6.64,6.64,NA,6.14,NA,5.16,NA,5.04,4.99,4.95,4.95,5.04,4.95,NA,5.04,NA,NA,5.04,NA,5.09,5.04,5.04,5.12,5.08,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin2_rep3_pH,BT_batch_mucin2,3,Yes,BT,6.64,6.64,NA,6.13,NA,5.2,NA,5.04,4.99,4.99,4.95,5.04,4.95,NA,5.04,NA,NA,5.04,NA,5.04,5.09,5.08,5.08,5.08,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin2_rep1_liquid_totalcount,BT_batch_mucin2,1,Yes,BT,2515,24007,NA,402930,NA,1142100,NA,1426040,1138470,985700,877920,864190,912000,NA,866540,NA,NA,979440,NA,990890,1307510,1178510,1072200,1047450,NA,NA,NA,NA,NA,NA,NA,NA
BT_mucin2_rep2_liquid_totalcount,BT_batch_mucin2,2,Yes,BT,2808,28838,NA,360610,NA,1080090,NA,1561130,1374440,1029320,880760,908280,970480,NA,827880,NA,NA,1036520,NA,1105210,1134620,1164070,1009500,1091610,NA,NA,NA,NA,NA,NA,NA,NA
