,GC124661,GC124662,GC124663,GC124664,GC124665,GC124666,GC124667,GC124668,GC124669,GC124688,GC124689,GC124690,GC124691,GC124692,GC124693,GC124694,GC124695,GC124696,GC124697,GC124698,GC124699,GC124700,GC124701,GC124702,GC124703,GC124704,GC124705,GC124706,GC124707,GC124708,GC124709,GC124710,GC124711,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738
BT_0637,1313.525,1401.378,1112.995,604,463,437,89,184,297,592.2,608.083,734.397,175,98,65,182,228,141,367,935.613,1912.461,1040.006,647.9,729.366,179,98,161.164,101,121,104,44,309,144,1172.24,2136.46,2107.141,1762.588,1593,1253.73,165.156,344.584,222.934,60,23,67,207,81,114
BT_0638,3010.534,3184.622,2915.994,2509,2377,2311,134,151,165,1423.919,1542.917,1549.441,232,82,74,73,117,89,2216,2800.387,3558.526,2317.994,1847.1,1937.634,191,456,530.836,145,149,116,38,291,92,3235.76,3917.54,3882.859,3244.412,3273,2676.27,481.844,868.416,572.066,31,16,6,84,87,80
BT_0639,96,190,145,23,27,4,12,33,18,10,18,7,27,27,0,121,15,0,53,52,82,28,17,21,42,7,35,14,12,11,0,0,0,40,50,27,45,31,10,12,68,85,16,5,0,12,5,21
BT_0640,3115,4117,3151,1475,1131,1107,114,110,138,923,1010,1147,587,167,124,48,105,63,1948,2706,3611,2779,1797,2411,638,899,1455,120,75,59,0,130,78,2430,2912,2826,1804,1629,1247,2075,2266,2013,142,103,106,91,55,56
BT_0641,514,667,392,443,488,447,491,698,502,322,341,312,726,272,279,483,297,382,115,290,473,643,475,448,545,439,649,226,307,452,109,767,322,584,484,410,902,787,502,286,231,215,76,117,113,308,158,172
BT_0642,3403.793,3765.253,3079.611,2114.708,1801,1574,160,282,261,1170.067,1134.175,1510.558,159,29,42,96,232.968,184,1518,2241,4136.794,1746.681,814,1267.451,109,78,130,74,61,182,109,332,151,2271,3486.016,3662.422,2419.791,2404.85,1971.593,95,292.854,160,0,51,16,133,48,78
BT_0643,10926.303,11385.773,10199.355,8650.292,7423,8040,347,393,386,4474.933,4969.066,6422.214,451,187,207,69,264.032,189,5332,9400,14153.913,8254.319,4889,6401.549,460,916,1118,92,126,450,123,505,304,8248,11680.984,12537.578,9432.209,10126.15,8367.407,775,699.146,718,97,14,93,132,89,69
BT_0644,36591.441,36266.338,36360.911,12250,8874,11887,5500,6487,6053,17326.003,20573.607,20340.013,8749,3187,3465,2233,5249,4902,17096.885,26416,39849.061,32630.918,22144.018,21181,7535,7169,10681,4316,4789,7224,1974,8575,4039,31461,46436.143,49258.667,22968.368,25849.749,20314,5095,7365,4861,1451,1217,1305,2235,1059,1521
BT_0645,27351.257,32188.902,23188.992,2787,2307,2893,362,398,510,2175,2212,2235,395,165,152,502,371,254,16155,17408.106,23887.925,3462,2465,3082,546,802,801,223,298,439,98,718,309,25606.54,27516,26268.514,3216,2942,2437,292,206,159,38,93,29,279,145,152
BT_0646,1230.114,1622,843,347,362,323,151,251,257,336,376,381,922,260,280,778,434,340,112,296,677.843,996,508,443,561,435,628,105,130,301,67,562,257,428.047,544,450,885,618,395,331,233,191,174,169,144,708,412,473
