,GC124661,GC124662,GC124663,GC124664,GC124665,GC124666,GC124667,GC124668,GC124669,GC124688,GC124689,GC124690,GC124691,GC124692,GC124693,GC124694,GC124695,GC124696,GC124697,GC124698,GC124699,GC124700,GC124701,GC124702,GC124703,GC124704,GC124705,GC124706,GC124707,GC124708,GC124709,GC124710,GC124711,GC124724,GC124725,GC124726,GC124727,GC124728,GC124729,GC124730,GC124731,GC124732,GC124733,GC124734,GC124735,GC124736,GC124737,GC124738
BT_2430,1383,2255,1306,3785,3741,3475,80,115,108,5456.242,5530,8114,255,67,126,60,172,95,403,868,1162.93,3581,1982,2868,288,363,504,47,47,128,27,290,81,1331,2022,2078,10537.586,11735.402,9121,679,658,756,67,37,96,71,60,62
BT_2431,1875,2465,1976,3379,2924,3703,524,596,341,3393.155,3118,2603,953,291,293,420,726,682,2752,1877,1881.98,4718,4565.001,4246,564,646,858,489,641,639,13,317,129,2626,2314,2315,5638.414,6288,5103,854,1032,522,375,117,374,141,99,104
BT_2432,1083.985,1328.028,1141.035,483,393,400,83,78,93,531.01,461,516,231,51,43,139,286,99,949,902.046,1687.038,802,639.025,738,86,122,160,62,89,112,0,54,38,947,1367.039,1430.258,929,967,742.071,180,129,117,95,80,143,107,61,88
BT_2433,9100.149,10949.972,9157.38,7075,5551,7645,1830,1959,1454,14377.99,12590.756,10681.057,2463,1881,1721,2159,5502,2471,16931,8763.954,11403.559,12977,12842.975,14028.001,2221,3987,3379,1603,1593,1835,264,698,199,10990,12857.961,13479.333,14523.249,16653.657,13325.929,1949,1726,1299,935,670,606,527,335,510
BT_2434,17668,23608.673,16050.939,10858,8214,12177,456,585,296,13755.575,13107.008,14122.503,442,117,265,226,736,373,18364,19479,22088.07,16288,15035.311,17392.301,840,1198,1096,522,464,712,155,1102,393,11749,18292.154,18403.636,19595.942,22006.144,17256,806,407,507.748,67,52,107,134,75,124
BT_2435,702,882.709,812.006,276,163,236,35,20,10,522.572,318.992,464.309,55,7,0,7,40,11,366,370,773.769,376,290,409.699,84,86,71,10,31,52,0,51,33,461,788.842,719.27,1149,1394.856,1101,261,251,189.252,19,0,0,39,37,53
BT_2436,1063,1160,921,70,53,137,18,52,97,89,127,86,42,43,8,22,33,0,793,868,1324,214,221,235,39,58,119,61,34,55,0,127,27,906,1180,1043,190,148,122,37,70,51,38,16,20,31,24,39
BT_2437,22428.081,29973.275,21350.185,76167.993,77760.634,74040.335,296,436.123,476.315,56236.814,57571.461,61861.218,1034.303,472.581,412,199,690.578,457.275,15112.396,17350.146,17499.476,42110.98,25806.737,40311.808,739.055,989.309,1126.066,123,398,400.437,64,454.213,252.869,30362.998,39030.908,35506.045,153690.831,159988.046,140735.773,1596.287,2446.819,1707.571,195.047,68.184,275.366,248.16,171.193,235
BT_2438,112901.793,104789.053,87227.801,1254924.582,956340.855,1024502.153,8721,14776.877,10325.685,1189069.648,910217.179,844134.178,1948.697,1312.419,1217,3293,2169.422,992.725,326485.604,130999.854,113664.745,801576.001,1476724.601,1385892.851,12591.945,36217.691,13724.934,5619,5696,10392.563,776,4668.787,2312.131,295925.61,241647.955,194429.402,1943447.234,2530480.838,1577530.911,12029.713,1338.181,2632.266,338.953,304.816,363.634,2011.84,1124.807,1446
BT_2439,15814.825,19476.597,15184.319,15657.13,13182.144,15509,4852,4777,3535.616,49221.898,45594.147,35829.205,20829,5439,5382,8983,16011,12529,28455.17,12961.009,20233.903,41868.418,48856.795,45868.66,14918,20444,17908,4200,4950,4928,231,1236,533,15464.692,22835.278,23780.851,31046.139,33061.251,23695.175,23100.543,16334,16581.853,6801,5042,5278,1553,916,1434
BT_2440,1985.178,2160.806,1755.117,1968.515,1636.574,1900,7,25,32.384,1378.487,1327.176,1297.892,150.377,74,18,67,86,55,2924,1591.991,2196.173,1746.316,1681.623,2003.303,92.125,102,130,12,15,20,26,55,44,1860.523,2317.827,2224.78,1608.779,1762.785,1407.847,124.457,318.476,171.85,0,0,21,38,20.001,11
BT_2441,1437.233,1588.024,1603.123,1194.355,1261.282,1159,46,38,122,698.891,685.677,855.241,226.623,120,83,72,71,77,834,798,1230.501,1333.266,899.698,1218.039,230.875,345,395,20,35,115,0,39,47,1027.786,1437.331,1490.618,1256.97,1306,810.191,587,547.524,663.297,23,12,46,63,54.999,54
BT_2442,26,24,12,33,42,33,27,22,8,87,56,83,14,2,25,37,17,0,12,18,21,85,117,190,26,65,26,8,22,39,0,6,4,12,21,20,278,238,163,8,12,0,0,5,16,11,7,7
BT_2443,29,54,50,21,17,34,38,18,0,47,51,54,10,12,0,58,29,23,39,47,49,49,23,45,19,49,56,0,14,22,0,35,35,39,51,77,152,124,117,43,24,48,12,20,0,24,12,23
BT_2444,12,33,15,53,22,29,18,31,65,85,79,78,35,18,16,65,21,0,20,13,24,82,55,74,85,33,142,13,5,55,0,29,14,2,29,20,74,116,103,190,179,184,51,32,76,29,9,15
BT_2445,0,0,3,1,1,2,0,0,0,2,12,6,0,0,0,0,0,0,0,0,2,24,8,8,3,0,13,0,0,0,0,0,0,0,1,0,0,0,0,5,7,0,2,0,0,0,0,0
BT_2446,1013.955,974.59,735,693,507,487,53,81,87,627,657,589,169,36,32,88,111,167,1596,1041,1424,1150,1035,1269,152,191,248,61,31,88,21,48,46,1027,1375,1295,491.58,408,332,99,212,133,44,42,25,45,47,13
BT_2447,65.045,70.41,61,26,32,25,0,15,18,18,18,27,3,0,1,30,11,13,61,47,51,33,34,32,10,22,20,9,5,18,0,18,0,60,56,38,25,19,33,34,10,31,0,0,6,11,0,6
BT_2448,189,166,125,36,42,23,5,32,37,213,238,220,20,13,11,35,26,19,236,135,305,230,263,206,28,50,61,23,10,68,18,15,24,139,300,339,138,170,118,68,7,39,0,33,24,63,65,41
BT_2449,90,116,106,21,24,26,32,23,22,38,16,31,21,0,0,34,0,0,47,46,82,29,41,35,37,55,68,26,12,44,0,72,16,58,60,66,51,55,19,86,24,24,18,7,8,62,49,23
BT_2450,1706.205,2723.135,2007.048,3,4,15,0,0,29,9,7,9,9,0,10,26,0,13,419,475,778.934,16,8,15,12,7,39,8,0,16,11,0,5,519,434.697,444,23,10,21,15,27,10,42,9,25,5,26,15
BT_2451,1916.526,2720.167,1884.286,16,19,2,6,14,0,11,4,10,20,0,0,54,4,0,497,1214,1643.725,17,6,19,43,34,19,0,1,0,0,0,25,1471,1374.7,1254.889,35,27,21,132.387,132,138.991,10,23,20,17,17,34
BT_2452,306.28,386.773,256.264,5,0,0,0,5,0,8,9,3,3,0,0,25,0,0,54,20,272.854,4,24,15,30,45,15,0,5,8,0,0,0,48,221.804,162.111,79,49,19,32.613,0,2.009,0,8,10,27,1,0
BT_2453,85,93,48.402,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,28,37.488,0,0,0,0,0,0,0,0,0,0,0,0,54,34.801,28,3,4,3,0,0,0,0,0,0,0,0,0
BT_2454,99.995,84,77,4,2,4,0,0,0,3,1,1,0,0,0,0,0,0,37,32,33,0,3,0,9,0,0,0,7,0,0,0,0,41,37,51,0,2,4,0,0,15,0,0,0,0,0,0
BT_2455,28.603,21.083,15.903,31.001,24,36,11,15,16,44.104,31.294,43.198,31,10,0,2,9,0,48,33,23.129,36.556,51,48.225,12,4,24.243,19,12,0,0,16,0,14,26,22,71.573,53,64,7,40,0,0,0,20,13,2,0
BT_2456,23.397,32.917,28.097,109.999,90,137,9,44,6,170.896,110.706,149.802,17,0,0,15,11,13,54,82,24.871,141.444,186,244.775,23,55,57.757,14,28,38,0,12,9,7,49,40,131.427,219,200,22,51,31,0,29,0,20,6,11
BT_2457,141,174,107.535,69,28,61,10,20,55,51,42,53,31,8,0,6,1,0,26,56,96,40,33,43.078,21,26,29,13,1,0,0,19,43,54,77,101,159,161,117,74.499,107,83,39,20,0,18,0,5
BT_2458,1095,1518,1066.606,653,506,824,72,70,23,1561.726,1913,1679,122,30,22,207,117,100,539,890,1069,1663,1130,1419.922,243,161,327,7,50,48,28,37,34,639,1038,1102,2499,2797,2326,336.501,430,297,122,9,91,43,27,25
BT_2459,402,490,482,286,237,337,0,22,38,591.277,478,476,64,27,15,48,108,37,574,415,566,607,541,722,33,50,77,32,0,16,0,32,0,430,609,573,735,877,760,49,58,0,29,5,59,13,13,40
BT_2460,161,193,173,184,158,141,0,35,35,174.656,136,179.388,18,0,15,2,63,53,267,157,198,229,339,350,53,31,38,0,4,0,0,33,11,129,171.246,194,201,204,178,14,26,50,9,37,44,35,8,36
BT_2461,789,860,745,425,358,464,104,132,197,349.344,388,427.612,630,202,149,122,149,234,754,815,1081.523,751,421,609,237,309,678,46,46,163,39,179,80,649,897.754,914,525,572,495,809,1248.562,1084.965,282,173,211.017,180,119,127
BT_2462,208.559,292,192,111,64,95,109,127,16,109,121,129.303,832,342,231,122,141,217,92,74,254.477,324,202,209,888,871,1546,96,148,56,60,73,39,130,292,242,265.323,276,207,635,632.438,502.035,72,66,34.983,121,83,72
BT_2463,287,406,279,63,65,34,0,0,0,29,21,27.697,16,6,0,17,11,0,67,108,107,75,37,47,78,38,37,0,0,15,0,12,24,150,103,118,128.677,75,84,28,159,40,0,2,0,16,4,0
BT_2464,25,53,38,20,0,0,0,0,0,19,10,10,3,0,0,0,0,9,8,8,39,43,27,31,4,17,4,0,10,8,0,0,0,15,24,11,19,39,26,34,36,7,0,0,0,0,0,5
BT_2465,65,99,102,171,150,166,155,169,175,209,237,203,240,167,32,131,255,106,79,64,87,313,378,367,323,313,433,174,136,191,21,120,51,56,81,93,318,337,277,441,293,281,43,23,44,83,40,56
BT_2466,471,507,468,538,359,608,30,119,44,366,227,282,14,20,0,346,3,10,893,483,601,669,754,1014,38,100,62,32,60,68,15,75,29,472,533,512,369,431,269,57,59,11,11,0,0,11,7,51
BT_2467,18,31,4,0,2,3,0,9,0,6,7,4,34,0,0,7,0,0,12,7,22,5,4,4,5,9,22,16,0,0,0,0,5,0,19,17,6,6,3,29,23,68,0,7,0,0,0,10
BT_2468,12,11,9,5,8,0,6,0,0,16,12,9,8,0,0,0,0,0,5,0,20,3,7,16,8,18,0,0,0,0,0,20,0,7,12,23,30,22,0,0,14,10,0,0,0,4,11,0
BT_2469,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,1,1,3,0,0,0,0,11,0,0,0,0,0,0,0
BT_2470,20,29,16,0,3,3,0,0,0,0,0,0,0,0,0,0,12,0,9,7,3,5,7,9,0,9,0,0,0,0,0,0,0,11,14,5,22,2,1,0,0,8,0,0,0,0,0,0
BT_2471,19,7,14,4,0,3,0,0,18,0,2,9,0,0,0,0,0,0,1,4,12,4,3,3,0,6,14,0,0,0,0,0,0,13,9,4,5,8,2,41,59,31,0,0,0,0,0,0
BT_2472,361,482,417,42,23,34,9,0,0,41,22,41,80,0,24,12,0,15,32,51,140,49,36,51,183,170,319,0,5,0,0,4,0,93,105,89,132,150,109,601,453,433,0,0,0,10,0,1
BT_2473,4268.291,3966.483,4413.091,341,318,253,16,36,32,1008.571,844.998,795.994,93,4,0,31,60,74,9634,4804,8797.305,1058.484,1263,1198,58,121,135,31,30,9,0,19,7,265,338,355,519,574.999,387,0,54,32,10,16,61,10,25,19
BT_2474,5792.548,5574.542,5780.559,536,496.001,860,48,58,53,1133.816,1227.097,1097.436,128.302,15,79,11,139,57,7536.4,7017.997,11178.962,1758.52,1681,1256.174,107.116,87,120,18,47,10,0,12,13,346,388,440,174.867,186,154.158,85,29,14,73.002,0,0,0,4,9
BT_2475,14920.86,15932.513,13929.038,2053,1507.999,2220,98,119,79,2960.477,2530.154,2045.572,182.698,113,106,16,367,192,38834.314,20284.357,24915.623,5254,6578,6257.826,85.884,239,138,27,86,167,51,111,64,773,981.007,983,365.133,451,292.842,33,12,24,16,4,0,14,0,7
BT_2476,2245.011,2312.822,2291.096,268.822,162.356,355,6,0,7,197.46,207.654,252.045,58,28,19,8,37,8,2551.612,2457.85,3775.49,368.015,261.328,256.953,11,4,24.899,0,4,0,0,6,0,110,119.778,147.559,57,60,20,4,0,0,0,0,0,9,8,2
BT_2477,3435.567,3428.145,3633.115,323.178,291.005,376,21,20,3,282.792,325.406,435.311,62,52,0,22,17,0,2487.388,3715.15,7240.697,592.985,340.672,406.047,29,66,36.101,0,12,0,0,25,10,168,277.891,215.441,49,62,60,26,77,27,12,0,12,13,11,9
BT_2478,7942.115,8088.62,7899.068,846,811.639,1051,6,62,11,2102.722,2075.94,1801.908,34,4,64,18,95,30,12854.149,8804,16651.499,3294,3460,3295.877,48,76,76,5,12,21,0,12,26,289,469.33,536,143,193,120.002,16,8,18,0,0,0,21,5,0
BT_2479,11715.645,12588.729,12199.021,854.428,947,1190.013,25,83,120,909.788,1379.664,1185.622,178,87,63,2,117,187,12845,18419.558,28715.095,2199,999.792,1148.123,108,83,98,67,28,21,31,48,32,745,823,936,99,133,119.998,50,72,110,8,21,59,11,16,5
BT_2480,5241.446,5903.945,4735.922,452.006,508,449,45,49,14,411.647,550.336,587.114,87,30,74,0,32,20,2462,5462.442,9035.705,1165.998,422.208,508.182,114,77,230,19,61,52,0,26,0,423,487,460,88,115,98,59,9,44,0,19,10,14,9,7
BT_2481,124.971,181,199.973,79.567,37,73,7,11,0,55.844,61,49,10,5,0,0,0,0,109,61,136.288,155.002,207,195.818,51,25,61,9,12,18,0,0,0,30,31,26,26,18,5,0,13,10,0,0,0,0,0,0
BT_2482,1375,1555,1341,278,195,191,0,0,0,229,176,184,15,15,0,1,49,0,721,685,1617.099,339,414,626,30,70,53,0,11,0,0,0,7,73,148,117,40,25,37,0,26,0,0,0,0,0,0,0
BT_2483,97,152,135,66,36,52,0,1,0,8,12,7,0,0,0,1,0,0,148.953,117,140,30,41,32.865,6,0,11,0,6,0,0,9,0,51,47,26,11,9,6,12,14,0,0,0,0,0,0,0
BT_2484,1155,1248.003,1279,1375,1199,1429,176,312,142,1398,2092,1471,748,258,169,132,115,151,1469,1264.153,1516,2779,2393,1952,1173,597,1228,251,209,392,0,66,30,1031,1447.177,1635,1343,1621,1252,1661,1656,1453,208,156,190,64,22,53
BT_2485,29,27,19,24,12,27,46,14,22,35,23,19,11,0,0,35,0,0,23,23,19,24,25,28,16,15,24,0,0,0,0,18,16,31,28,59,42.098,35,44,62,57,19,23,7,0,49,24,33
BT_2486,471,624,440,605,482,471,337,294,208,877,839,825,366,145,96,1465.02,332,186,322,330,376,940,677,665,412,401,582,243,150,243,45,375,257,411,504,489,2053.902,2393,1717,1031,1548,794,540,187,316,482,240,258
BT_2487,1,1,0,0,3,0,0,1,0,0,0,4,3,0,0,0,0,0,0,0,1,6,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,9,0,0,0,0,0,0,0
BT_2488,2121.32,2924,2441,2327,1750,2626,247,333,124,2280,2121,2242,967,457,227,201,248,218,1980,2031,1821,1942,1499,1875.031,809,941,1406,204,161,183,64,114,58,1928,2569.242,2537,3423,3681,3155,1336,1539,990,99,171,185,201,92,120
BT_2489,117465.006,150677.286,123411.604,31384,23194,25311,1546,2542,2241,21843.858,21744.993,25322.543,681,178,266,1236.043,893,875,138005.973,132114.966,128917.193,37525,29010,33760,1537,2763,1887,1705,2466,4155,342,3229,1498,120617,153041.067,151792.637,18292.483,19471,13379,1186,1185,728,350,389,560,927,493,648
BT_2490,45,60,56,2,7,1,0,12,40,17,23,11,74,46,21,106,183,121,33,22,33,18,18,14,14,2,31,28,4,4,0,12,0,58,16,9,25,18,16,2,47,17,10,0,32,0,0,0
BT_2491,251,277.52,250.678,179.203,151,146,31,24,43,291.092,496.044,545.521,411.606,223,92,305,134,91,11,46,294.15,1080,293,241,113,92.003,258,21,17,37,0,23,6,54,246.466,205,1422.125,928.556,832.548,737,759.193,646,77,58,58,206.555,119.006,86
BT_2492,782,813.271,1028.422,1071.797,803,1160,27,42,21,541.908,584.265,801.479,245.394,280,91,93,211,14,313,421,534.915,970,474,487,333,203.997,291,15,14,0,0,26,0,694,510.534,397,4635.875,4364.072,4172.452,1013,869.807,833,15,31,0,78.445,56.994,61
BT_2493,20229.49,22950.629,18179.605,8211,9042,10454,2378,2333,2519,5820.054,8353,8342,2907,1605,1221,907,993,1339,3370,15102.43,24210.588,21928,6774,8027,3375,3725,5157,1178,1103,2111,927,4393,2227,25236,32040.513,29494.54,10545,10380.372,8067,3702,3990,3395,741,438,639,1411,622,684
BT_2494,3302.269,3696.038,3276.575,6126.326,5201.563,4194,282,339,297,10738.832,10892.05,12624.392,2401,1322,587,308,674,420,631,2181.17,4606.909,6688,3919,5061.184,3902,4991.087,6705,123,148,367,158,652,348,2969,4203.561,3885.676,16627.813,14841.85,12017.942,4592,4755,4324,121,71,144,375,224,196
BT_2495,2382.867,2544.91,2384.407,3385.722,3377.886,3107.354,89,118,163,4628.407,5603.429,6571.437,169,63,64,175.165,147,36.766,1283,2673.526,3345.724,2820.821,1608.435,2138.407,184,180.622,451,65,61,83,57,196,122,2447.386,3281.605,3721.396,4212.119,4364.511,3539.432,207,403,265,66,58,78,121,53,40
BT_2496,3890.51,4322.483,3558.274,5209.952,4150.551,4301.646,174,197,125,14020.894,12449.175,14328.586,633,246,218,177.835,792,588.234,4815,4150.304,5280.73,7844.891,6099.485,6364.985,197,351.378,381,28,93,195,37,174,137,3775.614,5548.865,5803.678,8292.657,9094.622,6969.72,267,511,327,120,36,42,108,62,69
BT_2497,1157.154,1194.233,1058.843,1797.722,1842,1514,35,20,56,2846.461,3089.491,3687.425,109.698,93,33,97,25,54,498,1119.56,1427.193,1840.895,544.505,955.39,55.453,47,135,0,27,66,16,112,58,1045.915,1425.48,1391.858,3450.743,2922.594,2535.323,71,147,41.329,52,49,61,109,8,50.321
BT_2498,1650.26,1755.055,1286.185,1898.278,1683,1396,99,126,116,7802.881,6427.748,5223.343,501.302,164,130,294,408,262,1845,1293.44,1995.152,4215.745,5140.735,4904.034,251.547,375,291,178,87,219,40,150,97,1411.085,2230.52,1998.506,4457.861,4338.636,3076.677,318,192,211,159,121,13,196,33,57.679
BT_2499,8456.434,15513.384,7575.629,4579,4260,4797,289,428,453,3448,3302,4271.007,195,69,61,71,128,130,3964,10167,8201.701,4035,1543,2341,374,392,515,232,297,518,145,1040,503,3765,6158.069,4615,10571.916,10513.77,8308,442,624,369,58,44,144,353,198,222
BT_2500,1760,1973,2059.001,5012,3856,3857,4144,4980,4497,13784.885,10709,12125.182,10693,5395,3389,17283,34344,11395,504,660,1519.151,3002,2714,3497,5392,6639,6486,4084,4643,5897,1774,10444,3829,1558,1719.063,1826,7636.991,6510,5462,5004,8051,5612,1799,818,1526,3907,3103,3312
BT_2501,942,1067,986,448,410,287,30,0,8,315,275,330,48,0,8,16,37,64,366,507,1034,554,388,400,17,72,21,22,12,13,0,29,0,802,1076,1042,780,680,719,57,84,19,0,22,0,21,15,18
BT_2502,1891.039,2123.436,1827.358,3229,2761.019,3034,96,134,73,7032.03,8193.885,6951.919,454,86,31,127,128,245,2032,1674,2237.228,3531.474,3205.696,3612.732,187,201.64,352,115,85,126,49,79,164,1761,2419.773,2305.202,5473.511,5859.94,4686.672,915.893,1511.324,844.153,185,100,151,73,38,55
BT_2503,964.96,959.446,852.461,633,674.981,668,69,44,18,418.047,659.315,633.9,169.243,100,77,33,105,36,355,845.496,937.195,488.526,269.246,275.405,65,58.36,123,22,68,103,10,57,49,707.852,992.516,1183.377,618.319,773.143,618.796,177.107,347.084,232.847,72,61,14,47,14,41
BT_2504,990.012,1111.118,913.753,411,295,401,22,18,17,429.241,448.473,414.203,70.757,35,20,70,10,0,154,466.813,852.931,290,232.059,230.905,85,150,206,2,35,57,0,32,9,628.148,1040.71,946.668,840.258,906.266,612.532,212,294.592,195,0,5,10,34,14,10
BT_2505,2849.063,2951,3327.428,1419,1464,1201,173,276,153,1704.68,2187.327,2236.979,1077,405,164,156,312,230,699,1497.691,4242.92,4003,2054.999,2558.967,1279,1563,2586,125,120,270,100,240,155,1630,3502,3904.901,3389.757,3016.653,2415,2191,2572,2095,152,187,215,252,140,217
BT_2506,1816.661,2497.026,2298.641,44,53,37,38,65,39,140,112,121.89,235.448,123,45,356,81,95,503,1158,1620.433,254,214,156,236,68,234,37,27,61,0,17,30,1447,1554.133,1549.11,408.58,292,289,464.391,422.979,214.254,125,110,105,35,39,39
BT_2507,870.12,1251.357,787.129,49,45,15,33,57,103,34,45,44.11,178.552,76,15,483,66,111,190,437,784.434,33,34,19,84,59,93.076,23,38,93,14,86,34,732,804.558,711.377,140.42,128,101,238.537,335.238,234.746,161,57,124.465,117,53,56
BT_2508,285.218,298.617,328.311,11,12,17,0,13,0,17,35,25,63,16,28,90,37,12,84,164,238.132,32,35,31,57,59,107.924,30,16,14,0,25,3,271,307.31,308.513,71,16,25,97.072,68.784,72,45,16,35.535,35,30,26
BT_2509,283,437,275,13,6,8,0,48,18,21,11,4,58,0,0,97,16,26,62,75,199.018,20,18,8,17,20,40,0,0,0,22,30,5,212,202,211,61,48,25,238,303,49,87,6,55,49,21,48
BT_2510,20841,28228.001,19243.94,69022.963,65667.136,86657,6668,8387,9398,148504.923,139900.383,156048.008,9730,6148,4949,5047,4898,3489,42300.982,24030,22066.049,47295.078,34948,50951.575,5092,11425,10099,2816,3027,6721,1934,9121,4025,70066.889,81509.11,70853.716,318388.245,338506.464,238496.993,35671.338,47076,33493,1757,1493,1886,9396,4815,5998
BT_2511,610.009,526.934,512.375,295,251,227.964,172,201,145,137.336,152.31,146.3,233.399,22,35,269,130,79,312,260,554.859,317.737,192.213,289.893,175,329,204,116,80,200,140,266,165,466,694.638,617.399,484.39,416.319,261.308,203.279,316,68,116,119,178,330,183,157
BT_2512,5556.015,4742.165,4973.787,4865,4471,4034.036,468,580,327,2827.743,3278.69,3048.298,1387.601,471,413,652,1085,475,3439,3858,7604.532,6864.263,5607.787,4803.107,785,986,1175,432,362,388,18,151,143,8027,10803.362,10910.601,5786.61,6243.681,4391.692,1431.721,1177,1229,592,383,524,232,126,173
BT_2513,4539.143,5252,4602.018,5647,4370,4841,1637,1775,1391,5785,5095.912,3963,1024,560,611,1192,1066,884,5469,3053,4701,13554,17272,14079.003,1802,4417,2554,685,998,1618,305,1599,612,4095,5327,4674,9886.747,12382,8142,1967,1464,1186,325,429,383,1194,585,713
BT_2514,3,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0
BT_2515,2,5,8,14,51,28,10,64,27,75,105,49,82,31,77,11,22,18,205,45,47,140,133,53,163,98,254,38,49,19,0,6,0,24,16,26,7,12,3,90,53,37,46,39,10,0,0,0
BT_2516,994,1241,938,143,75,111,50,27,25,78,65,71,4,0,0,56,0,22,556,704,1405.051,278,170,196,5,8,10,0,0,23,0,0,5,652,742,713,616,640,611,21,35,0,16,12,0,14,4,6
BT_2517,20196.994,20177.955,19056.763,14360.325,11936,15286.946,597,814,655,30288.837,33591.049,28368.112,1679,513,588,469.295,1234,939,27542.217,17944.158,26904.328,32910.918,33020.216,30692.742,1487,1602,1466,472,525,719,142,703,373,18929.158,28197.23,30145.326,25078.067,28706.924,20271.814,1326,966,574,351,194,69,364,169,242
BT_2518,4437.696,4144.221,4313.482,1916.002,1646,1977.054,138,222,212,1910.365,1621.182,1937.808,65,18,34,69.705,75,81,5512.886,5043.013,6014.573,2086.08,1932.254,2332.652,53,140,92,98,200,200,126,313,143,3499,5041.445,4832.247,2091.869,2190.047,1998.918,112,36,13,14,12,23,85,49,48
BT_2519,2059.948,1978.559,1719.237,733,505,668,16,37,22,1384.67,1083.682,1137.566,60,10,57,44,36,17.638,715.974,901.462,1915.758,1413.91,1141.035,1712.307,12,10,45,10,51,56,0,31,41,921.323,2110.119,2193.22,2455.536,2342.911,1873.268,21,137.707,14,22,13,0,68,41,8
BT_2520,3282.636,3548.789,2783.989,2281.249,2020.325,3042,72,162,150,1407.665,1617.786,1479.867,83,68,57,80,47,82.362,2309,2740.233,3066.357,2627.824,2378.903,2394.83,90,78,72,0,19,178,60,220,86,2868.867,3514.994,3416.112,2925.541,3381.553,2542.995,268,236.293,104,1,29,64,67,55,77
BT_2521,14883.8,15791.805,15882.753,21208.751,18269.675,19347,1113,1416,1091,13536.331,13675.597,14563.646,2818,1249,1173,641,5160,2967,8702,12141.292,17136.433,24251.269,18418.837,22825.074,2032,4349,4163,439,805,1277,147,831,483,15876.81,20004.021,19945.668,23267.952,26448.565,19800.468,3881,3653,2907,183,121,159,482,337,410
BT_2522,7982.31,8770.942,8239.401,10252,8815,9011,1828,2996,2756,9994,10600,9748,3714,1135,1301,1131,2874,2557,8390,7302,9733.927,13505,10734,12868.016,3788,4954,6112,1861,2453,2878,550,2885,1421,7994,11379,11827.578,11745.664,11747.812,8987.299,5802,6514,4779,875,638,847,1137,727,834
BT_2523,2686,2663.517,2522.382,1536,1193,1384,344,376,176,2205,1971,2048.631,821,285,166,1016,1617,766,1641,2320.445,2958.574,2532,2393,2912,517,696,700,208,271,223,51,176,122,2164,3260.504,3642,2054.614,2282.041,1602,553,531,461,246,109,282,109,124,140
BT_2524,858.009,922.483,786.063,352,336,386,53,32,73,402,374,443.369,54,26,41,23,195,27,468,636.555,1050.037,653,676,681,94,100,51,10,56,29,0,0,22,615,975.496,1006,555.386,486,398,44,39,16,8,8,48,28,32,3
BT_2525,251,223,234.556,110,100,148,0,29,22,156,104,164,5,18,0,1,31,0,188,193,373.389,187,157,165,37,30,72,37,18,6,13,9,5,207,325,382,277,261,154,14.986,39,79,0,4,7,11,0,5
BT_2526,14529.167,20510.742,14025.559,4212.001,3349,3206,208,697,585,5615.453,5197,4851.27,551,182,230,1399,356,174,10632,7526,14071.691,8435.004,8514,7400,722,641,1045,388,387,681,40,426,195,7386.999,10068.729,9018.666,21222,17017,15792.983,724,495,403,247,214,180,369,229,325
BT_2527,12498.079,19925.281,16000.925,13161,9688,16918,766,1228,952,14831,16084.959,16398.207,1750,707,449,1731,861,671,11802,10392,9835.194,15127,13086.193,14143,2188,2632,3818,771,781,904,254,974,361,9010,11343.021,11212.12,33555,33560.383,27904,5522,6177,4407,661,620,484,806,453,653
BT_2528,10372.165,12322,8837.835,5205,4264.752,4992,213,269,201,2839,2126,2381.211,273,132,59,163,126,174,11187,6013,8557.226,5930,5690,6437,479,712,641,127,128,271,73,129,44,8268,8894.796,8277.004,14747.646,12234,9437,450,463,492,168,132,148,136,105,106
BT_2529,32,21,27,5,8,20,0,5,30,5,8,6,0,0,0,0,22,0,34,17,32,8,12,7,0,12,0,0,3,0,0,0,0,12,9,13,11,20,37,3,0,25,0,0,0,0,0,0
BT_2530,49,72,51,203,118,99,0,25,0,299,185,245,27,0,0,9,6,0,167,41,78,257,402,425,10,28,25,13,5,0,0,16,0,62,82,48,590,552,477,40,26,24,0,0,0,0,0,9
BT_2531,66,62,59,60,46,32,0,3,9,72,78,48,15,9,0,3,15,0,51,63,82,53,50,67,0,14,13,0,20,0,0,9,5,32,60,61,90,96,49,18,26,23,0,0,0,3,0,14
BT_2532,36,54,36,50,41,26,47,20,10,93,88,78.003,8,0,36,12,56,17,78,26,56,86,99,89,29,56,29,0,0,10,0,12,2,38,49,45,93,68,77,10,14,11,5,9,0,26,6,5
BT_2533,10,13,4,0,6,1,0,0,0,6,2,4.997,18,0,0,0,6,0,4,0,6,12,2,8,6,0,23,0,0,0,0,0,0,0,2,11,8,6,2,0,0,0,0,6,0,0,0,0
BT_2534,750,769,769.004,346,284,298,116,66,55,591,471,485,225,14,15,69,20,74,870,798,1311.001,926,762,991,368,548,622,39,71,60,49,116,55,1257,1632,1679,1094,1058,720,569,550,518,59,14,15,51,53,24
